,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Q de Kock,KM Jarvis,GL Cloete,0,0,0,0,183,0,1,0,1,0,,,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
1,Q de Kock,KM Jarvis,GL Cloete,1,0,1,1,182,1,2,0,2,0,,,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
2,GL Cloete,KM Jarvis,Q de Kock,0,0,0,1,182,0,1,0,3,0,,,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
3,GL Cloete,KM Jarvis,Q de Kock,2,0,2,3,180,2,2,0,4,0,,,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
4,GL Cloete,KM Jarvis,Q de Kock,0,0,0,3,180,2,3,1,5,caught,GL Cloete,H Masakadza,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
5,F du Plessis,KM Jarvis,Q de Kock,4,0,4,7,176,4,1,1,6,0,,,1,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
6,Q de Kock,CB Mpofu,F du Plessis,4,0,4,11,172,5,3,1,1,0,,,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
7,Q de Kock,CB Mpofu,F du Plessis,0,0,0,11,172,5,4,1,2,0,,,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
8,Q de Kock,CB Mpofu,F du Plessis,0,0,0,11,172,5,5,2,3,caught,Q de Kock,CJ Chibhabha,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
9,F du Plessis,CB Mpofu,HE van der Dussen,4,0,4,15,168,8,2,2,4,0,,,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
10,F du Plessis,CB Mpofu,HE van der Dussen,0,0,0,15,168,8,3,2,5,0,,,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
11,F du Plessis,CB Mpofu,HE van der Dussen,1,0,1,16,167,9,4,2,6,0,,,2,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
12,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,16,167,9,5,2,1,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
13,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,16,167,9,6,2,2,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
14,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,16,167,9,7,2,3,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
15,F du Plessis,TS Chisoro,HE van der Dussen,6,0,6,22,161,15,8,2,4,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
16,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,22,161,15,9,2,5,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
17,F du Plessis,TS Chisoro,HE van der Dussen,6,0,6,28,155,21,10,2,6,0,,,3,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
18,HE van der Dussen,CB Mpofu,F du Plessis,2,0,2,30,153,2,1,2,1,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
19,HE van der Dussen,CB Mpofu,F du Plessis,0,0,0,30,153,2,2,2,2,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
20,HE van der Dussen,CB Mpofu,F du Plessis,0,0,0,30,153,2,3,2,3,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
21,HE van der Dussen,CB Mpofu,F du Plessis,0,0,0,30,153,2,4,2,4,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
22,HE van der Dussen,CB Mpofu,F du Plessis,0,0,0,30,153,2,5,2,5,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
23,HE van der Dussen,CB Mpofu,F du Plessis,0,0,0,30,153,2,6,2,6,0,,,4,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
24,F du Plessis,TS Chisoro,HE van der Dussen,4,0,4,34,149,25,11,2,1,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
25,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,34,149,25,12,2,2,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
26,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,34,149,25,13,2,3,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
27,F du Plessis,TS Chisoro,HE van der Dussen,0,1,1,35,148,25,14,2,4,0,,,5,wides,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
28,F du Plessis,TS Chisoro,HE van der Dussen,0,0,0,35,148,25,15,2,5,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
29,F du Plessis,TS Chisoro,HE van der Dussen,4,0,4,39,144,29,16,2,6,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
30,F du Plessis,TS Chisoro,HE van der Dussen,0,1,1,40,143,29,17,2,7,0,,,5,wides,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
31,F du Plessis,TS Chisoro,HE van der Dussen,4,0,4,44,139,33,18,2,8,0,,,5,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
32,HE van der Dussen,KM Jarvis,F du Plessis,6,0,6,50,133,8,7,2,1,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
33,HE van der Dussen,KM Jarvis,F du Plessis,0,0,0,50,133,8,8,2,2,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
34,HE van der Dussen,KM Jarvis,F du Plessis,1,0,1,51,132,9,9,2,3,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
35,F du Plessis,KM Jarvis,HE van der Dussen,0,0,0,51,132,33,19,2,4,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
36,F du Plessis,KM Jarvis,HE van der Dussen,0,0,0,51,132,33,20,2,5,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
37,F du Plessis,KM Jarvis,HE van der Dussen,1,0,1,52,131,34,21,2,6,0,,,6,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
38,F du Plessis,B Mavuta,HE van der Dussen,0,0,0,52,131,34,22,3,1,caught,F du Plessis,TS Chisoro,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
39,DA Miller,B Mavuta,HE van der Dussen,0,0,0,52,131,0,1,3,2,0,,,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
40,DA Miller,B Mavuta,HE van der Dussen,1,0,1,53,130,1,2,3,3,0,,,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
41,HE van der Dussen,B Mavuta,DA Miller,4,0,4,57,126,13,10,3,4,0,,,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
42,HE van der Dussen,B Mavuta,DA Miller,0,0,0,57,126,13,11,3,5,0,,,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
43,HE van der Dussen,B Mavuta,DA Miller,2,0,2,59,124,15,12,3,6,0,,,7,-,bat,South Africa,1,Buffalo Park,2018,10,South Africa_Zimbabwe_2018-10-09,South Africa,South Africa,Zimbabwe,160
