,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Sharjeel Khan,S Badree,Khalid Latif,,0,0,0,0,0,1,1,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
1,Sharjeel Khan,S Badree,Khalid Latif,,4,0,4,4,4,2,2,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
2,Sharjeel Khan,S Badree,Khalid Latif,{'wides': 1},0,1,1,5,4,3,3,wides,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
3,Sharjeel Khan,S Badree,Khalid Latif,,1,0,1,6,5,4,4,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
4,Khalid Latif,S Badree,Sharjeel Khan,,0,0,0,6,0,1,5,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
5,Khalid Latif,S Badree,Sharjeel Khan,,0,0,0,6,0,2,6,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
6,Khalid Latif,S Badree,Sharjeel Khan,,0,0,0,6,0,3,7,-,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
7,Sharjeel Khan,JE Taylor,Khalid Latif,,4,0,4,10,9,5,1,-,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
8,Sharjeel Khan,JE Taylor,Khalid Latif,,0,0,0,10,9,6,2,-,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
9,Sharjeel Khan,JE Taylor,Khalid Latif,,0,0,0,10,9,7,3,-,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
10,Sharjeel Khan,JE Taylor,Khalid Latif,,0,0,0,10,9,8,4,-,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
11,Sharjeel Khan,JE Taylor,Khalid Latif,{'legbyes': 1},0,1,1,11,9,9,5,legbyes,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
12,Khalid Latif,JE Taylor,Sharjeel Khan,,4,0,4,15,4,4,6,-,2,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
13,Sharjeel Khan,SP Narine,Khalid Latif,,0,0,0,15,9,10,1,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
14,Sharjeel Khan,SP Narine,Khalid Latif,,0,0,0,15,9,11,2,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
15,Sharjeel Khan,SP Narine,Khalid Latif,,0,0,0,15,9,12,3,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
16,Sharjeel Khan,SP Narine,Khalid Latif,,0,0,0,15,9,13,4,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
17,Sharjeel Khan,SP Narine,Khalid Latif,,1,0,1,16,10,14,5,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
18,Khalid Latif,SP Narine,Sharjeel Khan,,0,0,0,16,4,5,6,-,3,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
19,Sharjeel Khan,S Badree,Khalid Latif,,4,0,4,20,14,15,1,-,4,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
20,Sharjeel Khan,S Badree,Khalid Latif,,2,0,2,22,16,16,2,-,4,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
21,Sharjeel Khan,S Badree,Khalid Latif,,6,0,6,28,22,17,3,-,4,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
22,Sharjeel Khan,S Badree,Khalid Latif,,0,0,0,28,22,18,4,-,4,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
23,Sharjeel Khan,S Badree,Khalid Latif,,0,0,0,28,22,19,5,-,4,bowled,Sharjeel Khan,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
24,Babar Azam,S Badree,Khalid Latif,,0,0,0,28,0,1,6,-,4,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
25,Khalid Latif,DJ Bravo,Babar Azam,{'wides': 1},0,1,1,29,4,6,1,wides,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
26,Khalid Latif,DJ Bravo,Babar Azam,,0,0,0,29,4,7,2,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
27,Khalid Latif,DJ Bravo,Babar Azam,,1,0,1,30,5,8,3,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
28,Babar Azam,DJ Bravo,Khalid Latif,,1,0,1,31,1,2,4,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
29,Khalid Latif,DJ Bravo,Babar Azam,,0,0,0,31,5,9,5,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
30,Khalid Latif,DJ Bravo,Babar Azam,,1,0,1,32,6,10,6,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
31,Babar Azam,DJ Bravo,Khalid Latif,,1,0,1,33,2,3,7,-,5,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
32,Babar Azam,S Badree,Khalid Latif,,4,0,4,37,6,4,1,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
33,Babar Azam,S Badree,Khalid Latif,,0,0,0,37,6,5,2,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
34,Babar Azam,S Badree,Khalid Latif,,1,0,1,38,7,6,3,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
35,Khalid Latif,S Badree,Babar Azam,,0,0,0,38,6,11,4,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
36,Khalid Latif,S Badree,Babar Azam,,0,0,0,38,6,12,5,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
37,Khalid Latif,S Badree,Babar Azam,,0,0,0,38,6,13,6,-,6,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
38,Babar Azam,CR Brathwaite,Khalid Latif,,0,0,0,38,7,7,1,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
39,Babar Azam,CR Brathwaite,Khalid Latif,,1,0,1,39,8,8,2,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
40,Khalid Latif,CR Brathwaite,Babar Azam,,0,0,0,39,6,14,3,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
41,Khalid Latif,CR Brathwaite,Babar Azam,,1,0,1,40,7,15,4,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
42,Babar Azam,CR Brathwaite,Khalid Latif,,0,0,0,40,8,9,5,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
43,Babar Azam,CR Brathwaite,Khalid Latif,,0,0,0,40,8,10,6,-,7,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
44,Khalid Latif,S Badree,Babar Azam,,1,0,1,41,8,16,1,-,8,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
45,Babar Azam,S Badree,Khalid Latif,,0,0,0,41,8,11,2,-,8,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
46,Babar Azam,S Badree,Khalid Latif,,2,0,2,43,10,12,3,-,8,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
47,Babar Azam,S Badree,Khalid Latif,,0,0,0,43,10,13,4,-,8,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
48,Babar Azam,S Badree,Khalid Latif,,1,0,1,44,11,14,5,-,8,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies
