,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Guptill,B Kumar,C Munro,0,0,0,0,,0,1,0,1,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
1,MJ Guptill,B Kumar,C Munro,0,0,0,0,,0,2,0,2,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
2,MJ Guptill,B Kumar,C Munro,4,0,4,4,,4,3,0,3,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
3,MJ Guptill,B Kumar,C Munro,0,0,0,4,,4,4,0,4,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
4,MJ Guptill,B Kumar,C Munro,0,0,0,4,,4,5,0,5,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
5,MJ Guptill,B Kumar,C Munro,0,1,1,5,,4,6,0,6,wides,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
6,MJ Guptill,B Kumar,C Munro,0,0,0,5,,4,7,0,7,-,0,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
7,C Munro,Mohammed Siraj,MJ Guptill,4,0,4,9,,4,1,0,1,-,1,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
8,C Munro,Mohammed Siraj,MJ Guptill,1,0,1,10,,5,2,0,2,-,1,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
9,MJ Guptill,Mohammed Siraj,C Munro,0,0,0,10,,4,8,0,3,-,1,,0,,,bat,New Zealand,1,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,New Zealand,India,True,196
