,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AJ Finch,PVD Chameera,BR McDermott,1,0,1,1,1,1,1,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
1,BR McDermott,PVD Chameera,AJ Finch,0,0,0,1,0,1,2,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
2,BR McDermott,PVD Chameera,AJ Finch,1,0,1,2,1,2,3,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
3,AJ Finch,PVD Chameera,BR McDermott,3,0,3,5,4,2,4,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
4,BR McDermott,PVD Chameera,AJ Finch,0,0,0,5,1,3,5,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
5,BR McDermott,PVD Chameera,AJ Finch,0,0,0,5,1,4,6,1,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
6,AJ Finch,B Fernando,BR McDermott,1,0,1,6,5,3,1,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
7,BR McDermott,B Fernando,AJ Finch,2,0,2,8,3,5,2,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
8,BR McDermott,B Fernando,AJ Finch,1,0,1,9,4,6,3,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
9,AJ Finch,B Fernando,BR McDermott,0,0,0,9,5,4,4,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
10,AJ Finch,B Fernando,BR McDermott,1,0,1,10,6,5,5,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
11,BR McDermott,B Fernando,AJ Finch,0,0,0,10,4,7,6,2,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
12,AJ Finch,M Theekshana,BR McDermott,0,0,0,10,6,6,1,3,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
