,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Tamim Iqbal,TM Dilshan,Shamsur Rahman,1,0,1,1,167,1,1,0,1,0,,,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
1,Shamsur Rahman,TM Dilshan,Tamim Iqbal,0,0,0,1,167,0,1,0,2,0,,,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
2,Shamsur Rahman,TM Dilshan,Tamim Iqbal,1,0,1,2,166,1,2,0,3,0,,,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
3,Tamim Iqbal,TM Dilshan,Shamsur Rahman,1,0,1,3,165,2,2,0,4,0,,,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
4,Shamsur Rahman,TM Dilshan,Tamim Iqbal,0,0,0,3,165,1,3,1,5,caught,Shamsur Rahman,LD Chandimal,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
5,Anamul Haque,TM Dilshan,Tamim Iqbal,0,0,0,3,165,0,1,1,6,0,,,1,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
6,Tamim Iqbal,KMDN Kulasekara,Anamul Haque,0,0,0,3,165,2,3,1,1,0,,,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
7,Tamim Iqbal,KMDN Kulasekara,Anamul Haque,0,0,0,3,165,2,4,2,2,caught,Tamim Iqbal,BAW Mendis,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
8,Shakib Al Hasan,KMDN Kulasekara,Anamul Haque,4,0,4,7,161,4,1,2,3,0,,,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
9,Shakib Al Hasan,KMDN Kulasekara,Anamul Haque,0,0,0,7,161,4,2,2,4,0,,,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
10,Shakib Al Hasan,KMDN Kulasekara,Anamul Haque,4,0,4,11,157,8,3,2,5,0,,,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
11,Shakib Al Hasan,KMDN Kulasekara,Anamul Haque,4,0,4,15,153,12,4,2,6,0,,,2,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
12,Anamul Haque,TM Dilshan,Shakib Al Hasan,0,0,0,15,153,0,2,2,1,0,,,3,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
13,Anamul Haque,TM Dilshan,Shakib Al Hasan,4,0,4,19,149,4,3,2,2,0,,,3,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
14,Anamul Haque,TM Dilshan,Shakib Al Hasan,0,0,0,19,149,4,4,2,3,0,,,3,-,bat,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2014,02,Bangladesh_Sri Lanka_2014-02-14,Sri Lanka,Bangladesh,Sri Lanka,120
