,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,TG Southee,KL Rahul,2,0,2,2,177,2,1,0,1,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
1,RG Sharma,TG Southee,KL Rahul,1,0,1,3,176,3,2,0,2,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
2,KL Rahul,TG Southee,RG Sharma,4,0,4,7,172,4,1,0,3,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
3,KL Rahul,TG Southee,RG Sharma,1,0,1,8,171,5,2,0,4,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
4,RG Sharma,TG Southee,KL Rahul,6,0,6,14,165,9,3,0,5,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
5,RG Sharma,TG Southee,KL Rahul,6,0,6,20,159,15,4,0,6,1,0,0,field,New Zealand,4,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,India,India,20
