,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Kamran Akmal,S Badree,Ahmed Shehzad,0,0,0,0,0,1,1,0,,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
1,Kamran Akmal,S Badree,Ahmed Shehzad,0,0,0,0,0,2,2,0,,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
2,Kamran Akmal,S Badree,Ahmed Shehzad,0,0,0,0,0,3,3,0,,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
3,Kamran Akmal,S Badree,Ahmed Shehzad,0,0,0,0,0,4,4,0,,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
4,Kamran Akmal,S Badree,Ahmed Shehzad,0,0,0,0,0,5,5,bowled,Kamran Akmal,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
5,Babar Azam,S Badree,Ahmed Shehzad,4,0,4,4,4,1,6,0,,,1,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
6,Ahmed Shehzad,JO Holder,Babar Azam,1,0,1,5,1,1,1,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
7,Babar Azam,JO Holder,Ahmed Shehzad,1,0,1,6,5,2,2,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
8,Ahmed Shehzad,JO Holder,Babar Azam,4,0,4,10,5,2,3,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
9,Ahmed Shehzad,JO Holder,Babar Azam,1,0,1,11,6,3,4,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
10,Babar Azam,JO Holder,Ahmed Shehzad,0,0,0,11,5,3,5,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
11,Babar Azam,JO Holder,Ahmed Shehzad,1,0,1,12,6,4,6,0,,,2,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
12,Babar Azam,S Badree,Ahmed Shehzad,0,0,0,12,6,5,1,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
13,Babar Azam,S Badree,Ahmed Shehzad,1,0,1,13,7,6,2,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
14,Ahmed Shehzad,S Badree,Babar Azam,0,0,0,13,6,4,3,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
15,Ahmed Shehzad,S Badree,Babar Azam,0,0,0,13,6,5,4,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
16,Ahmed Shehzad,S Badree,Babar Azam,1,0,1,14,7,6,5,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
17,Babar Azam,S Badree,Ahmed Shehzad,1,0,1,15,8,7,6,0,,,3,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
18,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,8,1,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
19,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,9,2,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
20,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,10,3,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
21,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,11,4,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
22,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,12,5,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
23,Babar Azam,KOK Williams,Ahmed Shehzad,0,0,0,15,8,13,6,0,,,4,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
24,Ahmed Shehzad,JO Holder,Babar Azam,1,0,1,16,8,7,1,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
25,Babar Azam,JO Holder,Ahmed Shehzad,0,0,0,16,8,14,2,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
26,Babar Azam,JO Holder,Ahmed Shehzad,4,0,4,20,12,15,3,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
27,Babar Azam,JO Holder,Ahmed Shehzad,0,0,0,20,12,16,4,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
28,Babar Azam,JO Holder,Ahmed Shehzad,4,0,4,24,16,17,5,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
29,Babar Azam,JO Holder,Ahmed Shehzad,1,0,1,25,17,18,6,0,,,5,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
30,Babar Azam,SP Narine,Ahmed Shehzad,2,0,2,27,19,19,1,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
31,Babar Azam,SP Narine,Ahmed Shehzad,0,0,0,27,19,20,2,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
32,Babar Azam,SP Narine,Ahmed Shehzad,0,0,0,27,19,21,3,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
33,Babar Azam,SP Narine,Ahmed Shehzad,4,0,4,31,23,22,4,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
34,Babar Azam,SP Narine,Ahmed Shehzad,1,0,1,32,24,23,5,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
35,Ahmed Shehzad,SP Narine,Babar Azam,1,0,1,33,9,8,6,0,,,6,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
36,Ahmed Shehzad,S Badree,Babar Azam,1,0,1,34,10,9,1,0,,,7,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
37,Babar Azam,S Badree,Ahmed Shehzad,1,0,1,35,25,24,2,0,,,7,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
38,Ahmed Shehzad,S Badree,Babar Azam,1,0,1,36,11,10,3,0,,,7,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
39,Babar Azam,S Badree,Ahmed Shehzad,0,0,0,36,25,25,4,0,,,7,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
40,Babar Azam,S Badree,Ahmed Shehzad,1,0,1,37,26,26,5,0,,,7,,-,field,West Indies,1,"Queen's Park Oval, Port of Spain",2017-03-30,Pakistan,West Indies
