,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,DR Smith,JW Dernbach,J Charles,0,0,0,0,165,0,1,1,1,bowled,DR Smith,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
1,MN Samuels,JW Dernbach,J Charles,0,0,0,0,165,0,1,1,2,0,,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
2,MN Samuels,JW Dernbach,J Charles,0,0,0,0,165,0,2,1,3,0,,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
3,MN Samuels,JW Dernbach,J Charles,0,0,0,0,165,0,3,1,4,0,,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
4,MN Samuels,JW Dernbach,J Charles,0,0,0,0,165,0,4,1,5,0,,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
5,MN Samuels,JW Dernbach,J Charles,0,0,0,0,165,0,5,1,6,0,,,1,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
6,J Charles,CJ Jordan,MN Samuels,4,0,4,4,161,4,1,1,1,0,,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
7,J Charles,CJ Jordan,MN Samuels,0,0,0,4,161,4,2,1,2,0,,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
8,J Charles,CJ Jordan,MN Samuels,0,0,0,4,161,4,3,2,3,caught and bowled,J Charles,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
9,LMP Simmons,CJ Jordan,MN Samuels,0,0,0,4,161,0,1,2,4,0,,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
10,LMP Simmons,CJ Jordan,MN Samuels,0,0,0,4,161,0,2,2,5,0,,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
11,LMP Simmons,CJ Jordan,MN Samuels,2,0,2,6,159,2,3,2,6,0,,,2,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
12,MN Samuels,JW Dernbach,LMP Simmons,4,0,4,10,155,4,6,2,1,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
13,MN Samuels,JW Dernbach,LMP Simmons,4,0,4,14,151,8,7,2,2,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
14,MN Samuels,JW Dernbach,LMP Simmons,0,0,0,14,151,8,8,2,3,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
15,MN Samuels,JW Dernbach,LMP Simmons,0,0,0,14,151,8,9,2,4,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
16,MN Samuels,JW Dernbach,LMP Simmons,4,0,4,18,147,12,10,2,5,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
17,MN Samuels,JW Dernbach,LMP Simmons,2,0,2,20,145,14,11,2,6,0,,,3,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
18,LMP Simmons,SD Parry,MN Samuels,1,0,1,21,144,3,4,2,1,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
19,MN Samuels,SD Parry,LMP Simmons,1,0,1,22,143,15,12,2,2,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
20,LMP Simmons,SD Parry,MN Samuels,0,0,0,22,143,3,5,2,3,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
21,LMP Simmons,SD Parry,MN Samuels,0,0,0,22,143,3,6,2,4,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
22,LMP Simmons,SD Parry,MN Samuels,4,0,4,26,139,7,7,2,5,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
23,LMP Simmons,SD Parry,MN Samuels,1,0,1,27,138,8,8,2,6,0,,,4,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
24,LMP Simmons,CJ Jordan,MN Samuels,0,1,1,28,137,8,9,2,1,0,,,5,legbyes,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
25,MN Samuels,CJ Jordan,LMP Simmons,0,0,0,28,137,15,13,3,2,bowled,MN Samuels,,5,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
26,DJ Bravo,CJ Jordan,LMP Simmons,0,0,0,28,137,0,1,3,3,0,,,5,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
27,DJ Bravo,CJ Jordan,LMP Simmons,0,0,0,28,137,0,2,3,4,0,,,5,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
28,DJ Bravo,CJ Jordan,LMP Simmons,4,0,4,32,133,4,3,3,5,0,,,5,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
29,DJ Bravo,CJ Jordan,LMP Simmons,1,0,1,33,132,5,4,3,6,0,,,5,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
30,DJ Bravo,JC Tredwell,LMP Simmons,1,0,1,34,131,6,5,3,1,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
31,LMP Simmons,JC Tredwell,DJ Bravo,0,0,0,34,131,8,10,3,2,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
32,LMP Simmons,JC Tredwell,DJ Bravo,0,0,0,34,131,8,11,3,3,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
33,LMP Simmons,JC Tredwell,DJ Bravo,0,0,0,34,131,8,12,3,4,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
34,LMP Simmons,JC Tredwell,DJ Bravo,1,0,1,35,130,9,13,3,5,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
35,DJ Bravo,JC Tredwell,LMP Simmons,0,0,0,35,130,6,6,3,6,0,,,6,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
36,LMP Simmons,SD Parry,DJ Bravo,0,0,0,35,130,9,14,3,1,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
37,LMP Simmons,SD Parry,DJ Bravo,6,0,6,41,124,15,15,3,2,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
38,LMP Simmons,SD Parry,DJ Bravo,0,0,0,41,124,15,16,3,3,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
39,LMP Simmons,SD Parry,DJ Bravo,1,0,1,42,123,16,17,3,4,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
40,DJ Bravo,SD Parry,LMP Simmons,1,0,1,43,122,7,7,3,5,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
41,LMP Simmons,SD Parry,DJ Bravo,1,0,1,44,121,17,18,3,6,0,,,7,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
42,LMP Simmons,JC Tredwell,DJ Bravo,1,0,1,45,120,18,19,3,1,0,,,8,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
43,DJ Bravo,JC Tredwell,LMP Simmons,2,0,2,47,118,9,8,3,2,0,,,8,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
44,DJ Bravo,JC Tredwell,LMP Simmons,0,0,0,47,118,9,9,3,3,0,,,8,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
45,DJ Bravo,JC Tredwell,LMP Simmons,0,0,0,47,118,9,10,3,4,0,,,8,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
46,DJ Bravo,JC Tredwell,LMP Simmons,0,2,2,49,116,9,11,3,5,0,,,8,legbyes,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
47,DJ Bravo,JC Tredwell,LMP Simmons,0,0,0,49,116,9,12,3,6,0,,,8,-,bat,England,2,"Kensington Oval, Bridgetown",2014,03,West Indies_England_2014-03-13,England,West Indies,England,160
