,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Zakir Hasan,Arshad Iqbal,Afif Hossain,0,1,1,1,0,1,1,wides,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
1,Zakir Hasan,Arshad Iqbal,Afif Hossain,0,0,0,1,0,2,2,-,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
2,Zakir Hasan,Arshad Iqbal,Afif Hossain,0,0,0,1,0,3,3,-,caught,Zakir Hasan,Mirza Baig,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
3,Saif Hassan,Arshad Iqbal,Afif Hossain,0,0,0,1,0,1,4,-,caught,Saif Hassan,Omair Yousuf,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
4,Yasir Ali Chowdhury,Arshad Iqbal,Afif Hossain,0,1,1,2,0,1,5,wides,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
5,Yasir Ali Chowdhury,Arshad Iqbal,Afif Hossain,1,0,1,3,1,2,6,-,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
6,Afif Hossain,Arshad Iqbal,Yasir Ali Chowdhury,0,0,0,3,0,1,7,-,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
7,Afif Hossain,Arshad Iqbal,Yasir Ali Chowdhury,6,0,6,9,6,2,8,-,0,,,1,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
8,Yasir Ali Chowdhury,Arafat Minhas,Afif Hossain,4,0,4,13,5,3,1,-,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
9,Yasir Ali Chowdhury,Arafat Minhas,Afif Hossain,0,4,4,17,5,4,2,byes,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
10,Yasir Ali Chowdhury,Arafat Minhas,Afif Hossain,1,0,1,18,6,5,3,-,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
11,Afif Hossain,Arafat Minhas,Yasir Ali Chowdhury,4,1,5,23,10,3,4,noballs,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
12,Afif Hossain,Arafat Minhas,Yasir Ali Chowdhury,0,0,0,23,10,4,5,-,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
13,Afif Hossain,Arafat Minhas,Yasir Ali Chowdhury,1,0,1,24,11,5,6,-,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
14,Yasir Ali Chowdhury,Arafat Minhas,Afif Hossain,4,0,4,28,10,6,7,-,0,,,2,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
15,Afif Hossain,Sufiyan Muqeem,Yasir Ali Chowdhury,0,0,0,28,11,6,1,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
16,Afif Hossain,Sufiyan Muqeem,Yasir Ali Chowdhury,1,0,1,29,12,7,2,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
17,Yasir Ali Chowdhury,Sufiyan Muqeem,Afif Hossain,2,0,2,31,12,7,3,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
18,Yasir Ali Chowdhury,Sufiyan Muqeem,Afif Hossain,4,0,4,35,16,8,4,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
19,Yasir Ali Chowdhury,Sufiyan Muqeem,Afif Hossain,1,0,1,36,17,9,5,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
20,Afif Hossain,Sufiyan Muqeem,Yasir Ali Chowdhury,4,0,4,40,16,8,6,-,0,,,3,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
21,Yasir Ali Chowdhury,Arshad Iqbal,Afif Hossain,0,0,0,40,17,10,1,-,0,,,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
22,Yasir Ali Chowdhury,Arshad Iqbal,Afif Hossain,0,0,0,40,17,11,2,-,0,,,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
23,Yasir Ali Chowdhury,Arshad Iqbal,Afif Hossain,1,0,1,41,18,12,3,-,0,,,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
24,Afif Hossain,Arshad Iqbal,Yasir Ali Chowdhury,0,0,0,41,16,9,4,-,0,,,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
25,Afif Hossain,Arshad Iqbal,Yasir Ali Chowdhury,4,0,4,45,20,10,5,-,0,,,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
26,Afif Hossain,Arshad Iqbal,Yasir Ali Chowdhury,0,0,0,45,20,11,6,-,caught,Afif Hossain,Rohail Nazir,4,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
27,Yasir Ali Chowdhury,Sufiyan Muqeem,Jaker Ali,6,0,6,51,24,13,1,-,0,,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
28,Yasir Ali Chowdhury,Sufiyan Muqeem,Jaker Ali,2,0,2,53,26,14,2,-,0,,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
29,Yasir Ali Chowdhury,Sufiyan Muqeem,Jaker Ali,6,0,6,59,32,15,3,-,0,,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
30,Yasir Ali Chowdhury,Sufiyan Muqeem,Jaker Ali,2,0,2,61,34,16,4,-,0,,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
31,Yasir Ali Chowdhury,Sufiyan Muqeem,Jaker Ali,0,0,0,61,34,17,5,-,bowled,Yasir Ali Chowdhury,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
32,Rakibul Hasan,Sufiyan Muqeem,Jaker Ali,4,0,4,65,4,1,6,-,0,,,5,field,Bangladesh,2,Zhejiang University of Technology Cricket Field,2023-10-07,Bangladesh,Pakistan
