,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RG Sharma,AU Rashid,KL Rahul,0,0,0,0,0,1,1,-,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
1,RG Sharma,AU Rashid,KL Rahul,2,0,2,2,2,2,2,-,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
2,RG Sharma,AU Rashid,KL Rahul,2,0,2,4,4,3,3,-,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
3,RG Sharma,AU Rashid,KL Rahul,0,0,0,4,4,4,4,-,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
4,RG Sharma,AU Rashid,KL Rahul,0,1,1,5,4,5,5,legbyes,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
5,KL Rahul,AU Rashid,RG Sharma,0,0,0,5,0,1,6,-,1,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
6,RG Sharma,JC Archer,KL Rahul,0,0,0,5,4,6,1,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
7,RG Sharma,JC Archer,KL Rahul,0,0,0,5,4,7,2,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
8,RG Sharma,JC Archer,KL Rahul,0,0,0,5,4,8,3,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
9,RG Sharma,JC Archer,KL Rahul,1,0,1,6,5,9,4,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
10,KL Rahul,JC Archer,RG Sharma,0,0,0,6,0,2,5,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
11,KL Rahul,JC Archer,RG Sharma,0,0,0,6,0,3,6,-,2,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
12,RG Sharma,MA Wood,KL Rahul,0,0,0,6,5,10,1,-,3,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
13,RG Sharma,MA Wood,KL Rahul,1,0,1,7,6,11,2,-,3,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
14,KL Rahul,MA Wood,RG Sharma,0,0,0,7,0,4,3,-,3,bowled,KL Rahul,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
15,Ishan Kishan,MA Wood,RG Sharma,0,0,0,7,0,1,4,-,3,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
16,Ishan Kishan,MA Wood,RG Sharma,0,0,0,7,0,2,5,-,3,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
17,Ishan Kishan,MA Wood,RG Sharma,1,0,1,8,1,3,6,-,3,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
18,Ishan Kishan,JC Archer,RG Sharma,0,0,0,8,1,4,1,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
19,Ishan Kishan,JC Archer,RG Sharma,1,0,1,9,2,5,2,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
20,RG Sharma,JC Archer,Ishan Kishan,4,0,4,13,10,12,3,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
21,RG Sharma,JC Archer,Ishan Kishan,1,0,1,14,11,13,4,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
22,Ishan Kishan,JC Archer,RG Sharma,2,0,2,16,4,6,5,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
23,Ishan Kishan,JC Archer,RG Sharma,0,0,0,16,4,7,6,-,4,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
24,RG Sharma,MA Wood,Ishan Kishan,4,0,4,20,15,14,1,-,5,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
25,RG Sharma,MA Wood,Ishan Kishan,0,0,0,20,15,15,2,-,5,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
26,RG Sharma,MA Wood,Ishan Kishan,0,0,0,20,15,16,3,-,5,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
27,RG Sharma,MA Wood,Ishan Kishan,0,0,0,20,15,17,4,-,5,caught,RG Sharma,JC Archer,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
28,V Kohli,MA Wood,Ishan Kishan,0,0,0,20,0,1,5,-,5,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
29,V Kohli,MA Wood,Ishan Kishan,4,0,4,24,4,2,6,-,5,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
30,Ishan Kishan,CJ Jordan,V Kohli,0,0,0,24,4,8,1,-,6,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
31,Ishan Kishan,CJ Jordan,V Kohli,0,0,0,24,4,9,2,-,6,caught,Ishan Kishan,JC Buttler,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
32,V Kohli,CJ Jordan,RR Pant,0,0,0,24,4,3,3,-,6,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
33,V Kohli,CJ Jordan,RR Pant,0,0,0,24,4,4,4,-,6,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
34,V Kohli,CJ Jordan,RR Pant,0,0,0,24,4,5,5,-,6,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
35,V Kohli,CJ Jordan,RR Pant,0,0,0,24,4,6,6,-,6,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
36,RR Pant,BA Stokes,V Kohli,0,0,0,24,0,1,1,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
37,RR Pant,BA Stokes,V Kohli,4,0,4,28,4,2,2,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
38,RR Pant,BA Stokes,V Kohli,0,0,0,28,4,3,3,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
39,RR Pant,BA Stokes,V Kohli,0,0,0,28,4,4,4,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
40,RR Pant,BA Stokes,V Kohli,1,0,1,29,5,5,5,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
41,V Kohli,BA Stokes,RR Pant,1,0,1,30,5,7,6,-,7,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
42,V Kohli,AU Rashid,RR Pant,4,0,4,34,9,8,1,-,8,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
43,V Kohli,AU Rashid,RR Pant,1,0,1,35,10,9,2,-,8,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
44,RR Pant,AU Rashid,V Kohli,1,0,1,36,6,6,3,-,8,0,,,field,England,1,Narendra Modi Stadium,2021-03-16,England,India,England
