,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,replacements,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
42,GJ Maxwell,JDF Vandersay,AJ Finch,1,0,1,45,13,11,6,0,,,7,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
43,GJ Maxwell,PVD Chameera,AJ Finch,1,0,1,46,14,12,1,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
44,AJ Finch,PVD Chameera,GJ Maxwell,0,0,0,46,16,19,2,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
45,AJ Finch,PVD Chameera,GJ Maxwell,1,0,1,47,17,20,3,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
46,GJ Maxwell,PVD Chameera,AJ Finch,0,0,0,47,14,13,4,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
47,GJ Maxwell,PVD Chameera,AJ Finch,0,0,0,47,14,14,5,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
48,GJ Maxwell,PVD Chameera,AJ Finch,2,0,2,49,16,15,6,0,,,8,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
49,AJ Finch,JDF Vandersay,GJ Maxwell,1,0,1,50,18,21,1,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
50,GJ Maxwell,JDF Vandersay,AJ Finch,6,0,6,56,22,16,2,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
51,GJ Maxwell,JDF Vandersay,AJ Finch,0,0,0,56,22,17,3,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
52,GJ Maxwell,JDF Vandersay,AJ Finch,1,0,1,57,23,18,4,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
53,AJ Finch,JDF Vandersay,GJ Maxwell,0,0,0,57,18,22,5,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
54,AJ Finch,JDF Vandersay,GJ Maxwell,1,0,1,58,19,23,6,0,,,9,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
55,AJ Finch,C Karunaratne,GJ Maxwell,1,0,1,59,20,24,1,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
56,GJ Maxwell,C Karunaratne,AJ Finch,2,0,2,61,25,19,2,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
57,GJ Maxwell,C Karunaratne,AJ Finch,6,0,6,67,31,20,3,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
58,GJ Maxwell,C Karunaratne,AJ Finch,1,0,1,68,32,21,4,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
