,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,P Nissanka,AF Milne,BKG Mendis,0,0,0,0,196,0,1,0,1,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
1,P Nissanka,AF Milne,BKG Mendis,0,0,0,0,196,0,2,0,2,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
2,P Nissanka,AF Milne,BKG Mendis,0,0,0,0,196,0,3,0,3,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
3,P Nissanka,AF Milne,BKG Mendis,4,0,4,4,192,4,4,0,4,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
4,P Nissanka,AF Milne,BKG Mendis,0,0,0,4,192,4,5,0,5,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
5,P Nissanka,AF Milne,BKG Mendis,4,0,4,8,188,8,6,0,6,1,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
6,BKG Mendis,BG Lister,P Nissanka,0,0,0,8,188,0,1,0,1,2,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
7,BKG Mendis,BG Lister,P Nissanka,0,0,0,8,188,0,2,0,2,2,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
8,BKG Mendis,BG Lister,P Nissanka,6,0,6,14,182,6,3,0,3,2,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
9,BKG Mendis,BG Lister,P Nissanka,4,0,4,18,178,10,4,0,4,2,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
10,BKG Mendis,BG Lister,P Nissanka,0,0,0,18,178,10,5,1,5,2,caught,BKG Mendis,TWM Latham,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
11,MDKJ Perera,BG Lister,P Nissanka,0,0,0,18,178,0,1,1,6,2,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
12,P Nissanka,HB Shipley,MDKJ Perera,1,0,1,19,177,9,7,1,1,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
13,MDKJ Perera,HB Shipley,P Nissanka,0,0,0,19,177,0,2,1,2,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
14,MDKJ Perera,HB Shipley,P Nissanka,0,0,0,19,177,0,3,1,3,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
15,MDKJ Perera,HB Shipley,P Nissanka,6,0,6,25,171,6,4,1,4,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
16,MDKJ Perera,HB Shipley,P Nissanka,2,0,2,27,169,8,5,1,5,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
17,MDKJ Perera,HB Shipley,P Nissanka,1,0,1,28,168,9,6,1,6,3,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
18,MDKJ Perera,AF Milne,P Nissanka,0,0,0,28,168,9,7,1,1,4,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
19,MDKJ Perera,AF Milne,P Nissanka,0,1,1,29,167,9,8,1,2,4,0,,,,byes,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
20,P Nissanka,AF Milne,MDKJ Perera,0,0,0,29,167,9,8,1,3,4,0,,,"{'by': 'New Zealand', 'umpire': 'Kim Cotton', 'batter': 'P Nissanka', 'decision': 'struck down', 'type': 'wicket'}",-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
21,P Nissanka,AF Milne,MDKJ Perera,0,0,0,29,167,9,9,2,4,4,caught,P Nissanka,BG Lister,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
22,DM de Silva,AF Milne,MDKJ Perera,1,0,1,30,166,1,1,2,5,4,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
23,MDKJ Perera,AF Milne,DM de Silva,4,0,4,34,162,13,9,2,6,4,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
24,DM de Silva,BG Lister,MDKJ Perera,0,1,1,35,161,1,2,2,1,5,0,,,,wides,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
25,DM de Silva,BG Lister,MDKJ Perera,0,1,1,36,160,1,3,2,2,5,0,,,,legbyes,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
26,MDKJ Perera,BG Lister,DM de Silva,1,0,1,37,159,14,10,2,3,5,0,,,,-,field,New Zealand,1,"University Oval, Dunedin",2023,04,Sri Lanka_New Zealand_2023-04-05,New Zealand,Sri Lanka,New Zealand,141
