,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,R Ngarava,A Balbirnie,0,0,0,0,174,0,1,0,1,0,,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
1,PR Stirling,R Ngarava,A Balbirnie,0,0,0,0,174,0,2,1,2,bowled,PR Stirling,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
2,L Tucker,R Ngarava,A Balbirnie,0,0,0,0,174,0,1,1,3,0,,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
3,L Tucker,R Ngarava,A Balbirnie,2,0,2,2,172,2,2,1,4,0,,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
4,L Tucker,R Ngarava,A Balbirnie,4,0,4,6,168,6,3,1,5,0,,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
5,L Tucker,R Ngarava,A Balbirnie,1,0,1,7,167,7,4,1,6,0,,,0,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
6,L Tucker,TL Chatara,A Balbirnie,0,0,0,7,167,7,5,1,1,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
7,L Tucker,TL Chatara,A Balbirnie,0,0,0,7,167,7,6,1,2,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
8,L Tucker,TL Chatara,A Balbirnie,4,0,4,11,163,11,7,1,3,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
9,L Tucker,TL Chatara,A Balbirnie,0,0,0,11,163,11,8,1,4,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
10,L Tucker,TL Chatara,A Balbirnie,0,0,0,11,163,11,9,1,5,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
11,L Tucker,TL Chatara,A Balbirnie,0,0,0,11,163,11,10,1,6,0,,,1,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
12,A Balbirnie,R Ngarava,L Tucker,0,0,0,11,163,0,1,1,1,0,,,2,-,,field,Ireland,2,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Ireland,Zimbabwe,False,143
