,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
40,HC Brook,MJ Santner,JM Bairstow,,0,0,0,43,0,1,5,7,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
41,HC Brook,MJ Santner,JM Bairstow,,1,0,1,44,1,2,6,7,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
42,HC Brook,IS Sodhi,JM Bairstow,,0,0,0,44,1,3,1,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
43,HC Brook,IS Sodhi,JM Bairstow,,0,0,0,44,1,4,2,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
44,HC Brook,IS Sodhi,JM Bairstow,,1,0,1,45,2,5,3,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
45,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,46,25,26,4,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
46,HC Brook,IS Sodhi,JM Bairstow,,1,0,1,47,3,6,5,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
47,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,48,26,27,6,8,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
48,JM Bairstow,MJ Santner,HC Brook,,0,0,0,48,26,28,1,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
49,JM Bairstow,MJ Santner,HC Brook,,4,0,4,52,30,29,2,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
50,JM Bairstow,MJ Santner,HC Brook,,1,0,1,53,31,30,3,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
51,HC Brook,MJ Santner,JM Bairstow,,1,0,1,54,4,7,4,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
52,JM Bairstow,MJ Santner,HC Brook,,6,0,6,60,37,31,5,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
53,JM Bairstow,MJ Santner,HC Brook,,0,0,0,60,37,32,6,9,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
54,HC Brook,IS Sodhi,JM Bairstow,,6,0,6,66,10,8,1,10,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
55,HC Brook,IS Sodhi,JM Bairstow,,6,0,6,72,16,9,2,10,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
56,HC Brook,IS Sodhi,JM Bairstow,,0,1,1,73,16,10,3,10,0,,,legbyes,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
57,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,74,38,33,4,10,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
58,HC Brook,IS Sodhi,JM Bairstow,,1,0,1,75,17,11,5,10,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
59,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,76,39,34,6,10,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
60,JM Bairstow,LH Ferguson,HC Brook,,4,0,4,80,43,35,1,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
61,JM Bairstow,LH Ferguson,HC Brook,,0,0,0,80,43,36,2,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
62,JM Bairstow,LH Ferguson,HC Brook,,0,0,0,80,43,37,3,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
63,JM Bairstow,LH Ferguson,HC Brook,,1,0,1,81,44,38,4,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
64,HC Brook,LH Ferguson,JM Bairstow,,0,0,0,81,17,12,5,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
65,HC Brook,LH Ferguson,JM Bairstow,,0,0,0,81,17,13,6,11,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
66,JM Bairstow,MJ Santner,HC Brook,,4,0,4,85,48,39,1,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
