,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,"{'by': 'Afghanistan', 'umpire': 'Gazi Sohel', 'batter': 'BRM Taylor', 'decision': 'struck down'}",0,0,0,0,197,0,1,0,-,1.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
1,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,,4,0,4,4,193,4,2,0,-,2.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
2,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,,0,0,0,4,193,4,3,0,-,3.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
3,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,,0,0,0,4,193,4,4,0,-,4.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
4,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,,4,0,4,8,189,8,5,0,-,5.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
5,BRM Taylor,Mujeeb Ur Rahman,H Masakadza,,0,0,0,8,189,8,6,0,-,6.0,0,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Right arm Offbreak
6,H Masakadza,Fareed Ahmad,BRM Taylor,,0,0,0,8,189,0,1,0,-,1.0,1,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Left arm Fast
7,H Masakadza,Fareed Ahmad,BRM Taylor,,1,0,1,9,188,1,2,0,-,2.0,1,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Left arm Fast
8,BRM Taylor,Fareed Ahmad,H Masakadza,,0,0,0,9,188,8,7,0,-,3.0,1,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Left arm Fast
9,BRM Taylor,Fareed Ahmad,H Masakadza,,1,0,1,10,187,9,8,0,-,4.0,1,0,,,field,Zimbabwe,2,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Zimbabwe,Afghanistan,False,169,Right hand Bat,Right hand Bat,Left arm Fast
