,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,DA Warner,Mohammad Amir,SR Watson,0,0,0,0,191,0,1,0,1,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
1,DA Warner,Mohammad Amir,SR Watson,0,1,1,1,190,0,2,0,2,wides,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
2,DA Warner,Mohammad Amir,SR Watson,0,0,0,1,190,0,3,1,3,-,caught,DA Warner,Umar Akmal,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
3,BJ Haddin,Mohammad Amir,SR Watson,1,0,1,2,189,1,1,1,4,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
4,SR Watson,Mohammad Amir,BJ Haddin,0,0,0,2,189,0,1,1,5,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
5,SR Watson,Mohammad Amir,BJ Haddin,4,0,4,6,185,4,2,1,6,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
6,SR Watson,Mohammad Amir,BJ Haddin,1,0,1,7,184,5,3,1,7,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
7,BJ Haddin,Mohammad Amir,SR Watson,0,0,0,7,184,1,2,1,8,-,0,,,1,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
8,SR Watson,Abdul Razzaq,BJ Haddin,6,0,6,13,178,11,4,1,1,-,0,,,2,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
9,SR Watson,Abdul Razzaq,BJ Haddin,0,0,0,13,178,11,5,1,2,-,0,,,2,field,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-14,Australia,Australia,Pakistan,197
