,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,KL Rahul,DT Tiripano,Mandeep Singh,0,1,1,1,98,0,1,0,1,wides,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
1,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,1,98,0,2,0,2,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
2,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,1,98,0,3,0,3,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
3,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,1,98,0,4,0,4,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
4,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,1,98,0,5,0,5,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
5,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,1,98,0,6,0,6,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
6,KL Rahul,DT Tiripano,Mandeep Singh,1,0,1,2,97,1,7,0,7,-,1,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
7,KL Rahul,N Madziva,Mandeep Singh,3,0,3,5,94,4,8,0,1,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
8,Mandeep Singh,N Madziva,KL Rahul,0,0,0,5,94,0,1,0,2,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
9,Mandeep Singh,N Madziva,KL Rahul,0,0,0,5,94,0,2,0,3,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
10,Mandeep Singh,N Madziva,KL Rahul,0,0,0,5,94,0,3,0,4,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
11,Mandeep Singh,N Madziva,KL Rahul,2,0,2,7,92,2,4,0,5,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
12,Mandeep Singh,N Madziva,KL Rahul,0,0,0,7,92,2,5,0,6,-,2,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
13,KL Rahul,DT Tiripano,Mandeep Singh,1,0,1,8,91,5,9,0,1,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
14,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,8,91,2,6,0,2,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
15,Mandeep Singh,DT Tiripano,KL Rahul,2,0,2,10,89,4,7,0,3,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
16,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,10,89,4,8,0,4,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
