,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Rizwan,DJ Willey,Babar Azam,0,0,0,0,191,0,1,0,1,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
1,Mohammad Rizwan,DJ Willey,Babar Azam,0,0,0,0,191,0,2,0,2,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
2,Mohammad Rizwan,DJ Willey,Babar Azam,1,0,1,1,190,1,3,0,3,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
3,Babar Azam,DJ Willey,Mohammad Rizwan,0,0,0,1,190,0,1,0,4,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
4,Babar Azam,DJ Willey,Mohammad Rizwan,4,0,4,5,186,4,2,0,5,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
5,Babar Azam,DJ Willey,Mohammad Rizwan,0,0,0,5,186,4,3,0,6,0,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
6,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,5,186,1,4,0,1,1,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
7,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,5,186,1,5,0,2,1,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
8,Mohammad Rizwan,S Mahmood,Babar Azam,4,0,4,9,182,5,6,0,3,1,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
9,Mohammad Rizwan,S Mahmood,Babar Azam,1,0,1,10,181,6,7,0,4,1,,-,0,,,field,England,1,"Trent Bridge, Nottingham",2021,07,Pakistan_England_2021-07-16,Pakistan,Pakistan,England,232
