,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,P Nissanka,MA Starc,MDKJ Perera,1,0,1,1,123,1,1,0,1,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
1,MDKJ Perera,MA Starc,P Nissanka,2,0,2,3,121,2,1,0,2,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
2,MDKJ Perera,MA Starc,P Nissanka,0,0,0,3,121,2,2,0,3,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
3,MDKJ Perera,MA Starc,P Nissanka,0,1,1,4,120,2,3,0,4,wides,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
4,MDKJ Perera,MA Starc,P Nissanka,1,0,1,5,119,3,4,0,5,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
5,P Nissanka,MA Starc,MDKJ Perera,1,0,1,6,118,2,2,0,6,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
6,MDKJ Perera,MA Starc,P Nissanka,0,0,0,6,118,3,5,0,7,-,1,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
7,P Nissanka,JR Hazlewood,MDKJ Perera,0,0,0,6,118,2,3,0,1,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
8,P Nissanka,JR Hazlewood,MDKJ Perera,0,0,0,6,118,2,4,0,2,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
9,P Nissanka,JR Hazlewood,MDKJ Perera,0,0,0,6,118,2,5,0,3,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
10,P Nissanka,JR Hazlewood,MDKJ Perera,1,0,1,7,117,3,6,0,4,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
11,MDKJ Perera,JR Hazlewood,P Nissanka,0,0,0,7,117,3,6,0,5,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
12,MDKJ Perera,JR Hazlewood,P Nissanka,4,0,4,11,113,7,7,0,6,-,2,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
13,P Nissanka,PJ Cummins,MDKJ Perera,0,0,0,11,113,3,7,0,1,-,3,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
14,P Nissanka,PJ Cummins,MDKJ Perera,4,0,4,15,109,7,8,0,2,-,3,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
15,P Nissanka,PJ Cummins,MDKJ Perera,0,0,0,15,109,7,9,1,3,-,3,caught,P Nissanka,DA Warner,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
16,KIC Asalanka,PJ Cummins,MDKJ Perera,4,1,5,20,104,4,1,1,4,noballs,3,0,,,,field,Australia,1,Dubai International Cricket Stadium,2021,10,Sri Lanka_Australia_2021-10-28,Australia,Sri Lanka,Australia,154
