,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RR Hendricks,M Theekshana,Q de Kock,0,1,1,1,119,0,1,0,1,wides,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
1,RR Hendricks,M Theekshana,Q de Kock,0,0,0,1,119,0,2,0,2,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
2,RR Hendricks,M Theekshana,Q de Kock,1,0,1,2,118,1,3,0,3,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
3,Q de Kock,M Theekshana,RR Hendricks,0,0,0,2,118,0,1,0,4,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
4,Q de Kock,M Theekshana,RR Hendricks,0,0,0,2,118,0,2,0,5,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
5,Q de Kock,M Theekshana,RR Hendricks,0,0,0,2,118,0,3,0,6,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
6,Q de Kock,M Theekshana,RR Hendricks,0,0,0,2,118,0,4,0,7,-,1,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
7,RR Hendricks,PWH de Silva,Q de Kock,1,0,1,3,117,2,4,0,1,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
8,Q de Kock,PWH de Silva,RR Hendricks,0,0,0,3,117,0,5,0,2,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
9,Q de Kock,PWH de Silva,RR Hendricks,0,0,0,3,117,0,6,0,3,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
10,Q de Kock,PWH de Silva,RR Hendricks,0,0,0,3,117,0,7,0,4,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
11,Q de Kock,PWH de Silva,RR Hendricks,1,0,1,4,116,1,8,0,5,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
12,RR Hendricks,PWH de Silva,Q de Kock,4,0,4,8,112,6,5,0,6,-,2,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
13,Q de Kock,M Theekshana,RR Hendricks,4,0,4,12,108,5,9,0,1,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
14,Q de Kock,M Theekshana,RR Hendricks,0,0,0,12,108,5,10,0,2,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
15,Q de Kock,M Theekshana,RR Hendricks,4,0,4,16,104,9,11,0,3,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
16,Q de Kock,M Theekshana,RR Hendricks,1,0,1,17,103,10,12,0,4,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
17,RR Hendricks,M Theekshana,Q de Kock,0,0,0,17,103,6,6,0,5,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
18,RR Hendricks,M Theekshana,Q de Kock,1,0,1,18,102,7,7,0,6,-,3,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
19,RR Hendricks,PWH de Silva,Q de Kock,1,0,1,19,101,8,8,0,1,-,4,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
20,Q de Kock,PWH de Silva,RR Hendricks,4,0,4,23,97,14,13,0,2,-,4,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
21,Q de Kock,PWH de Silva,RR Hendricks,4,0,4,27,93,18,14,0,3,-,4,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
22,Q de Kock,PWH de Silva,RR Hendricks,2,0,2,29,91,20,15,0,4,-,4,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
23,Q de Kock,PWH de Silva,RR Hendricks,0,0,0,29,91,20,16,0,5,-,4,"{'by': 'Sri Lanka', 'umpire': 'HDPK Dharmasena', 'batter': 'Q de Kock', 'decision': 'struck down'}",0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
24,Q de Kock,PWH de Silva,RR Hendricks,2,0,2,31,89,22,17,0,6,-,4,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
25,RR Hendricks,PHKD Mendis,Q de Kock,0,0,0,31,89,8,9,0,1,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
26,RR Hendricks,PHKD Mendis,Q de Kock,6,0,6,37,83,14,10,0,2,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
27,RR Hendricks,PHKD Mendis,Q de Kock,2,0,2,39,81,16,11,0,3,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
28,RR Hendricks,PHKD Mendis,Q de Kock,0,0,0,39,81,16,12,0,4,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
29,RR Hendricks,PHKD Mendis,Q de Kock,0,0,0,39,81,16,13,0,5,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
30,RR Hendricks,PHKD Mendis,Q de Kock,0,0,0,39,81,16,14,0,6,-,5,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
31,Q de Kock,M Theekshana,RR Hendricks,0,0,0,39,81,22,18,0,1,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
32,Q de Kock,M Theekshana,RR Hendricks,2,0,2,41,79,24,19,0,2,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
33,Q de Kock,M Theekshana,RR Hendricks,1,0,1,42,78,25,20,0,3,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
34,RR Hendricks,M Theekshana,Q de Kock,4,0,4,46,74,20,15,0,4,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
35,RR Hendricks,M Theekshana,Q de Kock,0,0,0,46,74,20,16,0,5,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
36,RR Hendricks,M Theekshana,Q de Kock,0,0,0,46,74,20,17,0,6,-,6,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
37,Q de Kock,PHKD Mendis,RR Hendricks,1,0,1,47,73,26,21,0,1,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
38,RR Hendricks,PHKD Mendis,Q de Kock,1,0,1,48,72,21,18,0,2,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
39,Q de Kock,PHKD Mendis,RR Hendricks,0,0,0,48,72,26,22,0,3,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
40,Q de Kock,PHKD Mendis,RR Hendricks,1,0,1,49,71,27,23,0,4,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
41,RR Hendricks,PHKD Mendis,Q de Kock,2,0,2,51,69,23,19,0,5,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
42,RR Hendricks,PHKD Mendis,Q de Kock,4,0,4,55,65,27,20,0,6,-,7,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
43,Q de Kock,PVD Chameera,RR Hendricks,1,0,1,56,64,28,24,0,1,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
44,RR Hendricks,PVD Chameera,Q de Kock,1,0,1,57,63,28,21,0,2,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
45,Q de Kock,PVD Chameera,RR Hendricks,1,0,1,58,62,29,25,0,3,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
46,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,58,62,28,22,0,4,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
47,RR Hendricks,PVD Chameera,Q de Kock,0,5,5,63,57,28,23,0,5,wides,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
48,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,63,57,28,24,0,6,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
49,RR Hendricks,PVD Chameera,Q de Kock,1,0,1,64,56,29,25,0,7,-,8,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
50,RR Hendricks,PWH de Silva,Q de Kock,0,0,0,64,56,29,26,0,1,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
51,RR Hendricks,PWH de Silva,Q de Kock,4,0,4,68,52,33,27,0,2,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
52,RR Hendricks,PWH de Silva,Q de Kock,0,0,0,68,52,33,28,0,3,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
53,RR Hendricks,PWH de Silva,Q de Kock,2,0,2,70,50,35,29,0,4,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
54,RR Hendricks,PWH de Silva,Q de Kock,1,0,1,71,49,36,30,0,5,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
55,Q de Kock,PWH de Silva,RR Hendricks,1,0,1,72,48,30,26,0,6,-,9,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
56,Q de Kock,M Theekshana,RR Hendricks,1,0,1,73,47,31,27,0,1,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
57,RR Hendricks,M Theekshana,Q de Kock,1,0,1,74,46,37,31,0,2,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
58,Q de Kock,M Theekshana,RR Hendricks,1,0,1,75,45,32,28,0,3,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
59,RR Hendricks,M Theekshana,Q de Kock,1,0,1,76,44,38,32,0,4,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
60,Q de Kock,M Theekshana,RR Hendricks,4,0,4,80,40,36,29,0,5,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
61,Q de Kock,M Theekshana,RR Hendricks,1,0,1,81,39,37,30,0,6,-,10,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
62,Q de Kock,C Karunaratne,RR Hendricks,2,0,2,83,37,39,31,0,1,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
63,Q de Kock,C Karunaratne,RR Hendricks,1,0,1,84,36,40,32,0,2,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
64,RR Hendricks,C Karunaratne,Q de Kock,1,0,1,85,35,39,33,0,3,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
65,Q de Kock,C Karunaratne,RR Hendricks,0,0,0,85,35,40,33,0,4,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
66,Q de Kock,C Karunaratne,RR Hendricks,1,0,1,86,34,41,34,0,5,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
67,RR Hendricks,C Karunaratne,Q de Kock,1,0,1,87,33,40,34,0,6,-,11,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
