,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,T Banton,Imad Wasim,JM Bairstow,1,0,1,1,,1,1,0,-,1.0,0,,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Right hand Bat,Left arm Orthodox
1,JM Bairstow,Imad Wasim,T Banton,0,0,0,1,,0,1,0,-,2.0,0,,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Right hand Bat,Left arm Orthodox
2,JM Bairstow,Imad Wasim,T Banton,2,0,2,3,,2,2,0,-,3.0,0,,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Right hand Bat,Left arm Orthodox
3,JM Bairstow,Imad Wasim,T Banton,0,0,0,3,,2,3,0,-,4.0,0,,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Right hand Bat,Left arm Orthodox
4,JM Bairstow,Imad Wasim,T Banton,0,0,0,3,,2,4,1,-,5.0,caught and bowled,JM Bairstow,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Right hand Bat,Left arm Orthodox
5,DJ Malan,Imad Wasim,T Banton,0,0,0,3,,0,1,1,-,6.0,0,,,0,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Orthodox
6,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,3,,1,2,1,-,1.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
7,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,3,,1,3,1,-,2.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
8,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,3,,1,4,1,-,3.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
9,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,3,,1,5,1,-,4.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
10,T Banton,Shaheen Shah Afridi,DJ Malan,4,0,4,7,,5,6,1,-,5.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
11,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,7,,5,7,1,-,6.0,0,,,1,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
12,DJ Malan,Imad Wasim,T Banton,0,0,0,7,,0,2,1,-,1.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Orthodox
13,DJ Malan,Imad Wasim,T Banton,1,0,1,8,,1,3,1,-,2.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Orthodox
14,T Banton,Imad Wasim,DJ Malan,3,0,3,11,,8,8,1,-,3.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Orthodox
15,DJ Malan,Imad Wasim,T Banton,1,0,1,12,,2,4,1,-,4.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Orthodox
16,T Banton,Imad Wasim,DJ Malan,1,0,1,13,,9,9,1,-,5.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Orthodox
17,DJ Malan,Imad Wasim,T Banton,2,0,2,15,,4,5,1,-,6.0,0,,,2,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Orthodox
18,T Banton,Mohammad Amir,DJ Malan,0,0,0,15,,9,10,1,-,1.0,0,,,3,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
19,T Banton,Mohammad Amir,DJ Malan,1,0,1,16,,10,11,1,-,2.0,0,,,3,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Right hand Bat,Left hand Bat,Left arm Fast
20,DJ Malan,Mohammad Amir,T Banton,0,0,0,16,,4,6,1,-,3.0,0,,,3,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Fast
21,DJ Malan,Mohammad Amir,T Banton,2,0,2,18,,6,7,1,-,4.0,0,,,3,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Fast
22,DJ Malan,Mohammad Amir,T Banton,0,0,0,18,,6,8,1,-,5.0,0,,,3,,field,Pakistan,1,Old Trafford,2020,08,England_Pakistan_2020-08-28,no result,England,Pakistan,,131,Left hand Bat,Right hand Bat,Left arm Fast
