,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,ME Trescothick,B Lee,GO Jones,0,0,0,0,174,0,1,0,1,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
1,ME Trescothick,B Lee,GO Jones,1,0,1,1,173,1,2,0,2,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
2,GO Jones,B Lee,ME Trescothick,0,0,0,1,173,0,1,0,3,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
3,GO Jones,B Lee,ME Trescothick,0,0,0,1,173,0,2,0,4,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
4,GO Jones,B Lee,ME Trescothick,0,0,0,1,173,0,3,0,5,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
5,GO Jones,B Lee,ME Trescothick,0,1,1,2,172,0,4,0,6,noballs,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
6,GO Jones,B Lee,ME Trescothick,2,0,2,4,170,2,5,0,7,-,1,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
7,ME Trescothick,GD McGrath,GO Jones,0,0,0,4,170,1,3,0,1,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
8,ME Trescothick,GD McGrath,GO Jones,0,0,0,4,170,1,4,0,2,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
9,ME Trescothick,GD McGrath,GO Jones,0,1,1,5,169,1,5,0,3,wides,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
10,ME Trescothick,GD McGrath,GO Jones,0,0,0,5,169,1,6,0,4,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
11,ME Trescothick,GD McGrath,GO Jones,0,0,0,5,169,1,7,0,5,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
12,ME Trescothick,GD McGrath,GO Jones,0,0,0,5,169,1,8,0,6,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
13,ME Trescothick,GD McGrath,GO Jones,1,0,1,6,168,2,9,0,7,-,2,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
14,ME Trescothick,B Lee,GO Jones,4,0,4,10,164,6,10,0,1,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
15,ME Trescothick,B Lee,GO Jones,1,0,1,11,163,7,11,0,2,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
16,GO Jones,B Lee,ME Trescothick,0,0,0,11,163,2,6,0,3,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
17,GO Jones,B Lee,ME Trescothick,4,0,4,15,159,6,7,0,4,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
18,GO Jones,B Lee,ME Trescothick,4,0,4,19,155,10,8,0,5,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
19,GO Jones,B Lee,ME Trescothick,1,0,1,20,154,11,9,0,6,-,3,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
20,GO Jones,GD McGrath,ME Trescothick,0,0,0,20,154,11,10,0,1,-,4,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
21,GO Jones,GD McGrath,ME Trescothick,4,0,4,24,150,15,11,0,2,-,4,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
22,GO Jones,GD McGrath,ME Trescothick,4,0,4,28,146,19,12,0,3,-,4,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
23,GO Jones,GD McGrath,ME Trescothick,0,0,0,28,146,19,13,0,4,-,4,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
24,GO Jones,GD McGrath,ME Trescothick,0,0,0,28,146,19,14,1,5,-,4,caught,GO Jones,MS Kasprowicz,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
25,ME Trescothick,GD McGrath,A Flintoff,1,0,1,29,145,8,12,1,6,-,4,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
26,ME Trescothick,B Lee,A Flintoff,1,0,1,30,144,9,13,1,1,-,5,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
27,A Flintoff,B Lee,ME Trescothick,1,1,2,32,142,1,1,1,2,noballs,5,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
28,ME Trescothick,B Lee,A Flintoff,4,0,4,36,138,13,14,1,3,-,5,0,,,bat,England,1,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,England,Australia,179
