,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Q de Kock,Taskin Ahmed,RR Hendricks,0,1,1,1,83,0,1,0,1,wides,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
1,Q de Kock,Taskin Ahmed,RR Hendricks,1,0,1,2,82,1,2,0,2,-,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
2,RR Hendricks,Taskin Ahmed,Q de Kock,0,0,0,2,82,0,1,0,3,-,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
3,RR Hendricks,Taskin Ahmed,Q de Kock,0,0,0,2,82,0,2,0,4,-,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
4,RR Hendricks,Taskin Ahmed,Q de Kock,4,0,4,6,78,4,3,0,5,-,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
5,RR Hendricks,Taskin Ahmed,Q de Kock,0,0,0,6,78,4,4,0,6,-,0,,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
6,RR Hendricks,Taskin Ahmed,Q de Kock,0,0,0,6,78,4,5,1,7,-,lbw,RR Hendricks,,1,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
7,Q de Kock,Shoriful Islam,HE van der Dussen,0,0,0,6,78,1,3,1,1,-,0,,,2,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
8,Q de Kock,Shoriful Islam,HE van der Dussen,0,0,0,6,78,1,4,1,2,-,0,,,2,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
9,Q de Kock,Shoriful Islam,HE van der Dussen,0,0,0,6,78,1,5,1,3,-,0,,,2,field,South Africa,2,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,South Africa,Bangladesh,86
