,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,LMP Simmons,A Dananjaya,E Lewis,0,0,0,0,160,0,1,0,1,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
1,LMP Simmons,A Dananjaya,E Lewis,0,0,0,0,160,0,2,0,2,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
2,LMP Simmons,A Dananjaya,E Lewis,0,0,0,0,160,0,3,0,3,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
3,LMP Simmons,A Dananjaya,E Lewis,0,0,0,0,160,0,4,0,4,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
4,LMP Simmons,A Dananjaya,E Lewis,1,0,1,1,159,1,5,0,5,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
5,E Lewis,A Dananjaya,LMP Simmons,0,0,0,1,159,0,1,0,6,1,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
6,LMP Simmons,PVD Chameera,E Lewis,0,0,0,1,159,1,6,0,1,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
7,LMP Simmons,PVD Chameera,E Lewis,1,0,1,2,158,2,7,0,2,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
8,E Lewis,PVD Chameera,LMP Simmons,0,0,0,2,158,0,2,0,3,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
9,E Lewis,PVD Chameera,LMP Simmons,2,0,2,4,156,2,3,0,4,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
10,E Lewis,PVD Chameera,LMP Simmons,0,0,0,4,156,2,4,0,5,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
11,E Lewis,PVD Chameera,LMP Simmons,4,0,4,8,152,6,5,0,6,2,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
12,LMP Simmons,A Dananjaya,E Lewis,0,0,0,8,152,2,8,0,1,3,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
13,LMP Simmons,A Dananjaya,E Lewis,0,0,0,8,152,2,9,0,2,3,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
14,LMP Simmons,A Dananjaya,E Lewis,0,0,0,8,152,2,10,0,3,3,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
15,LMP Simmons,A Dananjaya,E Lewis,1,0,1,9,151,3,11,0,4,3,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
16,E Lewis,A Dananjaya,LMP Simmons,0,0,0,9,151,6,6,1,5,3,bowled,E Lewis,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
17,CH Gayle,A Dananjaya,LMP Simmons,1,0,1,10,150,1,1,1,6,3,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
18,CH Gayle,PVD Chameera,LMP Simmons,0,0,0,10,150,1,2,1,1,4,0,,,-,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021,03,Sri Lanka_West Indies_2021-03-05,Sri Lanka,West Indies,Sri Lanka
