,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
19,Q de Kock,JC Archer,F du Plessis,6,0,6,20,121,12,6,1,2,0,,,4,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
20,Q de Kock,JC Archer,F du Plessis,1,0,1,21,120,13,7,1,3,0,,,4,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
21,F du Plessis,JC Archer,Q de Kock,1,0,1,22,119,4,10,1,4,0,,,4,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
22,Q de Kock,JC Archer,F du Plessis,4,0,4,26,115,17,8,1,5,0,,,4,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
23,Q de Kock,JC Archer,F du Plessis,0,0,0,26,115,17,9,1,6,0,,,4,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
24,F du Plessis,TK Curran,Q de Kock,6,0,6,32,109,10,11,1,1,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
25,F du Plessis,TK Curran,Q de Kock,4,0,4,36,105,14,12,1,2,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
26,F du Plessis,TK Curran,Q de Kock,6,0,6,42,99,20,13,1,3,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
27,F du Plessis,TK Curran,Q de Kock,2,0,2,44,97,22,14,1,4,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
28,F du Plessis,TK Curran,Q de Kock,2,0,2,46,95,24,15,1,5,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
29,F du Plessis,TK Curran,Q de Kock,4,0,4,50,91,28,16,1,6,0,,,5,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
30,Q de Kock,SM Curran,F du Plessis,4,0,4,54,87,21,10,1,1,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
31,Q de Kock,SM Curran,F du Plessis,0,0,0,54,87,21,11,1,2,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
