,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Umar Akmal,PJ Cummins,Abdul Razzaq,0,0,0,0,151,0,1,0,1,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
1,Umar Akmal,PJ Cummins,Abdul Razzaq,4,0,4,4,147,4,2,0,2,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
2,Umar Akmal,PJ Cummins,Abdul Razzaq,1,0,1,5,146,5,3,0,3,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
3,Abdul Razzaq,PJ Cummins,Umar Akmal,4,0,4,9,142,4,1,0,4,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
4,Abdul Razzaq,PJ Cummins,Umar Akmal,1,0,1,10,141,5,2,0,5,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
5,Umar Akmal,PJ Cummins,Abdul Razzaq,0,1,1,11,140,5,4,0,6,wides,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
6,Umar Akmal,PJ Cummins,Abdul Razzaq,1,0,1,12,139,6,5,0,7,-,0,0,bat,Pakistan,4,Dubai International Cricket Stadium,2012,09,Australia_Pakistan_2012-09-07,tie,Pakistan,Pakistan,12
