,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RW Chakabva,Mosaddek Hossain,CR Ervine,0,0,0,0,0,1,1,-,caught,RW Chakabva,Nurul Hasan,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
1,W Madhevere,Mosaddek Hossain,CR Ervine,0,0,0,0,0,1,2,-,0,,,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
2,W Madhevere,Mosaddek Hossain,CR Ervine,0,0,0,0,0,2,3,-,0,,,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
3,W Madhevere,Mosaddek Hossain,CR Ervine,0,1,1,1,0,3,4,wides,0,,,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
4,W Madhevere,Mosaddek Hossain,CR Ervine,4,0,4,5,4,4,5,-,0,,,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
5,W Madhevere,Mosaddek Hossain,CR Ervine,0,0,0,5,4,5,6,-,0,,,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
6,W Madhevere,Mosaddek Hossain,CR Ervine,0,0,0,5,4,6,7,-,caught,W Madhevere,Mahedi Hasan,1,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
7,CR Ervine,Mahedi Hasan,Sikandar Raza,1,0,1,6,1,1,1,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
8,Sikandar Raza,Mahedi Hasan,CR Ervine,0,0,0,6,0,1,2,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
9,Sikandar Raza,Mahedi Hasan,CR Ervine,0,0,0,6,0,2,3,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
10,Sikandar Raza,Mahedi Hasan,CR Ervine,0,0,0,6,0,3,4,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
11,Sikandar Raza,Mahedi Hasan,CR Ervine,0,0,0,6,0,4,5,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
12,Sikandar Raza,Mahedi Hasan,CR Ervine,0,0,0,6,0,5,6,-,0,,,2,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
13,CR Ervine,Mosaddek Hossain,Sikandar Raza,0,0,0,6,1,2,1,-,0,,,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
14,CR Ervine,Mosaddek Hossain,Sikandar Raza,0,0,0,6,1,3,2,-,0,,,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
15,CR Ervine,Mosaddek Hossain,Sikandar Raza,0,0,0,6,1,4,3,-,caught,CR Ervine,Liton Das,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
16,SC Williams,Mosaddek Hossain,Sikandar Raza,0,0,0,6,0,1,4,-,0,,,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
17,SC Williams,Mosaddek Hossain,Sikandar Raza,0,0,0,6,0,2,5,-,0,,,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
18,SC Williams,Mosaddek Hossain,Sikandar Raza,4,0,4,10,4,3,6,-,0,,,3,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
19,Sikandar Raza,Mustafizur Rahman,SC Williams,0,0,0,10,0,6,1,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
20,Sikandar Raza,Mustafizur Rahman,SC Williams,0,0,0,10,0,7,2,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
21,Sikandar Raza,Mustafizur Rahman,SC Williams,1,0,1,11,1,8,3,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
22,SC Williams,Mustafizur Rahman,Sikandar Raza,0,0,0,11,4,4,4,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
23,SC Williams,Mustafizur Rahman,Sikandar Raza,0,0,0,11,4,5,5,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
24,SC Williams,Mustafizur Rahman,Sikandar Raza,4,0,4,15,8,6,6,-,0,,,4,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
25,Sikandar Raza,Mosaddek Hossain,SC Williams,0,0,0,15,1,9,1,-,0,,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
26,Sikandar Raza,Mosaddek Hossain,SC Williams,4,0,4,19,5,10,2,-,0,,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
27,Sikandar Raza,Mosaddek Hossain,SC Williams,1,0,1,20,6,11,3,-,0,,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
28,SC Williams,Mosaddek Hossain,Sikandar Raza,0,0,0,20,8,7,4,-,caught and bowled,SC Williams,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
29,M Shumba,Mosaddek Hossain,Sikandar Raza,0,0,0,20,0,1,5,-,0,,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
30,M Shumba,Mosaddek Hossain,Sikandar Raza,0,0,0,20,0,2,6,-,0,,,5,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
31,Sikandar Raza,Shoriful Islam,M Shumba,4,0,4,24,10,12,1,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
32,Sikandar Raza,Shoriful Islam,M Shumba,0,1,1,25,10,13,2,wides,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
33,Sikandar Raza,Shoriful Islam,M Shumba,0,0,0,25,10,14,3,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
34,Sikandar Raza,Shoriful Islam,M Shumba,1,0,1,26,11,15,4,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
35,M Shumba,Shoriful Islam,Sikandar Raza,0,0,0,26,0,3,5,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
36,M Shumba,Shoriful Islam,Sikandar Raza,0,0,0,26,0,4,6,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
37,M Shumba,Shoriful Islam,Sikandar Raza,0,0,0,26,0,5,7,-,0,,,6,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
38,Sikandar Raza,Mosaddek Hossain,M Shumba,1,0,1,27,12,16,1,-,0,,,7,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
39,M Shumba,Mosaddek Hossain,Sikandar Raza,2,0,2,29,2,6,2,-,0,,,7,bat,Zimbabwe,1,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe,Bangladesh
