,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
32,MJ Guptill,Haris Rauf,DJ Mitchell,0,0,0,36,17,20,2,6,-,bowled,MJ Guptill,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
33,KS Williamson,Haris Rauf,DJ Mitchell,1,0,1,37,1,1,3,6,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
34,DJ Mitchell,Haris Rauf,KS Williamson,1,0,1,38,19,14,4,6,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
35,KS Williamson,Haris Rauf,DJ Mitchell,0,0,0,38,1,2,5,6,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
36,KS Williamson,Haris Rauf,DJ Mitchell,4,0,4,42,5,3,6,6,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
37,DJ Mitchell,Imad Wasim,KS Williamson,1,0,1,43,20,15,1,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
38,KS Williamson,Imad Wasim,DJ Mitchell,1,0,1,44,6,4,2,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
39,DJ Mitchell,Imad Wasim,KS Williamson,0,0,0,44,20,16,3,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
40,DJ Mitchell,Imad Wasim,KS Williamson,1,0,1,45,21,17,4,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
41,KS Williamson,Imad Wasim,DJ Mitchell,0,0,0,45,6,5,5,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
42,KS Williamson,Imad Wasim,DJ Mitchell,0,0,0,45,6,6,6,7,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
43,DJ Mitchell,Shadab Khan,KS Williamson,0,1,1,46,21,18,1,8,legbyes,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
44,KS Williamson,Shadab Khan,DJ Mitchell,0,0,0,46,6,7,2,8,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
45,KS Williamson,Shadab Khan,DJ Mitchell,0,0,0,46,6,8,3,8,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
46,KS Williamson,Shadab Khan,DJ Mitchell,2,0,2,48,8,9,4,8,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
47,KS Williamson,Shadab Khan,DJ Mitchell,0,0,0,48,8,10,5,8,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
48,KS Williamson,Shadab Khan,DJ Mitchell,0,0,0,48,8,11,6,8,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
49,DJ Mitchell,Imad Wasim,KS Williamson,6,0,6,54,27,19,1,9,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
50,DJ Mitchell,Imad Wasim,KS Williamson,0,0,0,54,27,20,2,9,-,caught,DJ Mitchell,Fakhar Zaman,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
51,KS Williamson,Imad Wasim,JDS Neesham,0,0,0,54,8,12,3,9,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
52,KS Williamson,Imad Wasim,JDS Neesham,1,0,1,55,9,13,4,9,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
53,JDS Neesham,Imad Wasim,KS Williamson,1,0,1,56,1,1,5,9,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
54,KS Williamson,Imad Wasim,JDS Neesham,0,0,0,56,9,14,6,9,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
55,JDS Neesham,Mohammad Hafeez,KS Williamson,0,0,0,56,1,2,1,10,-,caught,JDS Neesham,Fakhar Zaman,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
56,KS Williamson,Mohammad Hafeez,DP Conway,2,0,2,58,11,15,2,10,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
57,KS Williamson,Mohammad Hafeez,DP Conway,0,0,0,58,11,16,3,10,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
58,KS Williamson,Mohammad Hafeez,DP Conway,1,0,1,59,12,17,4,10,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
59,DP Conway,Mohammad Hafeez,KS Williamson,1,0,1,60,1,1,5,10,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
60,KS Williamson,Mohammad Hafeez,DP Conway,0,0,0,60,12,18,6,10,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
61,DP Conway,Shadab Khan,KS Williamson,0,0,0,60,1,2,1,11,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
62,DP Conway,Shadab Khan,KS Williamson,1,0,1,61,2,3,2,11,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
63,KS Williamson,Shadab Khan,DP Conway,0,0,0,61,12,19,3,11,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
64,KS Williamson,Shadab Khan,DP Conway,1,0,1,62,13,20,4,11,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
65,DP Conway,Shadab Khan,KS Williamson,0,0,0,62,2,4,5,11,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
66,DP Conway,Shadab Khan,KS Williamson,0,1,1,63,2,5,6,11,legbyes,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
67,DP Conway,Mohammad Hafeez,KS Williamson,0,0,0,63,2,6,1,12,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
68,DP Conway,Mohammad Hafeez,KS Williamson,1,0,1,64,3,7,2,12,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
69,KS Williamson,Mohammad Hafeez,DP Conway,0,0,0,64,13,21,3,12,-,0,,,"{'by': 'New Zealand', 'umpire': 'RA Kettleborough', 'batter': 'KS Williamson', 'decision': 'upheld'}",field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
70,KS Williamson,Mohammad Hafeez,DP Conway,4,0,4,68,17,22,4,12,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
71,KS Williamson,Mohammad Hafeez,DP Conway,6,0,6,74,23,23,5,12,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
72,KS Williamson,Mohammad Hafeez,DP Conway,1,0,1,75,24,24,6,12,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
73,KS Williamson,Shadab Khan,DP Conway,1,0,1,76,25,25,1,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
74,DP Conway,Shadab Khan,KS Williamson,0,0,0,76,3,8,2,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
75,DP Conway,Shadab Khan,KS Williamson,2,0,2,78,5,9,3,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
76,DP Conway,Shadab Khan,KS Williamson,4,0,4,82,9,10,4,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
77,DP Conway,Shadab Khan,KS Williamson,4,0,4,86,13,11,5,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
78,DP Conway,Shadab Khan,KS Williamson,4,0,4,90,17,12,6,13,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
79,KS Williamson,Hasan Ali,DP Conway,0,0,0,90,25,26,1,14,-,run out,KS Williamson,Hasan Ali,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
80,GD Phillips,Hasan Ali,DP Conway,0,0,0,90,0,1,2,14,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
81,GD Phillips,Hasan Ali,DP Conway,0,0,0,90,0,2,3,14,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
82,GD Phillips,Hasan Ali,DP Conway,1,0,1,91,1,3,4,14,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
83,DP Conway,Hasan Ali,GD Phillips,0,2,2,93,17,13,5,14,legbyesnoballs,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
84,GD Phillips,Hasan Ali,DP Conway,1,0,1,94,2,4,6,14,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
85,DP Conway,Hasan Ali,GD Phillips,1,0,1,95,18,14,7,14,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
86,DP Conway,Haris Rauf,GD Phillips,1,0,1,96,19,15,1,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
87,GD Phillips,Haris Rauf,DP Conway,1,0,1,97,3,5,2,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
88,DP Conway,Haris Rauf,GD Phillips,1,0,1,98,20,16,3,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
89,GD Phillips,Haris Rauf,DP Conway,1,0,1,99,4,6,4,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
90,DP Conway,Haris Rauf,GD Phillips,1,0,1,100,21,17,5,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
91,GD Phillips,Haris Rauf,DP Conway,0,0,0,100,4,7,6,15,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
92,DP Conway,Hasan Ali,GD Phillips,1,0,1,101,22,18,1,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
93,GD Phillips,Hasan Ali,DP Conway,1,0,1,102,5,8,2,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
94,DP Conway,Hasan Ali,GD Phillips,1,0,1,103,23,19,3,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
95,GD Phillips,Hasan Ali,DP Conway,1,0,1,104,6,9,4,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
96,DP Conway,Hasan Ali,GD Phillips,1,0,1,105,24,20,5,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
97,GD Phillips,Hasan Ali,DP Conway,2,0,2,107,8,10,6,16,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
98,DP Conway,Shaheen Shah Afridi,GD Phillips,1,0,1,108,25,21,1,17,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
99,GD Phillips,Shaheen Shah Afridi,DP Conway,0,1,1,109,8,11,2,17,legbyes,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
100,DP Conway,Shaheen Shah Afridi,GD Phillips,1,0,1,110,26,22,3,17,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
101,GD Phillips,Shaheen Shah Afridi,DP Conway,1,0,1,111,9,12,4,17,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
102,DP Conway,Shaheen Shah Afridi,GD Phillips,1,0,1,112,27,23,5,17,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
103,GD Phillips,Shaheen Shah Afridi,DP Conway,4,0,4,116,13,13,6,17,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
