,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Shubman Gill,JA Duffy,Ishan Kishan,0,0,0,0,176,0,1,0,1,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
1,Shubman Gill,JA Duffy,Ishan Kishan,1,0,1,1,175,1,2,0,2,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
2,Ishan Kishan,JA Duffy,Shubman Gill,0,0,0,1,175,0,1,0,3,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
3,Ishan Kishan,JA Duffy,Shubman Gill,0,0,0,1,175,0,2,0,4,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
4,Ishan Kishan,JA Duffy,Shubman Gill,0,0,0,1,175,0,3,0,5,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
5,Ishan Kishan,JA Duffy,Shubman Gill,4,0,4,5,171,4,4,0,6,1,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
6,Shubman Gill,MG Bracewell,Ishan Kishan,4,0,4,9,167,5,3,0,1,2,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
7,Shubman Gill,MG Bracewell,Ishan Kishan,1,0,1,10,166,6,4,0,2,2,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
8,Ishan Kishan,MG Bracewell,Shubman Gill,0,0,0,10,166,4,5,1,3,2,bowled,Ishan Kishan,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
9,RA Tripathi,MG Bracewell,Shubman Gill,0,0,0,10,166,0,1,1,4,2,0,,,,-,field,India,2,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,India,New Zealand,155
