,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,C Kieswetter,IK Pathan,AD Hales,0,0,0,0,170,0,1,0,-,1.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
1,C Kieswetter,IK Pathan,AD Hales,0,0,0,0,170,0,2,0,-,2.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
2,C Kieswetter,IK Pathan,AD Hales,0,0,0,0,170,0,3,0,-,3.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
3,C Kieswetter,IK Pathan,AD Hales,1,0,1,1,169,1,4,0,-,4.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
4,AD Hales,IK Pathan,C Kieswetter,0,1,1,2,168,0,1,0,wides,4.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
5,AD Hales,IK Pathan,C Kieswetter,0,0,0,2,168,0,2,0,-,5.0,0,,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
6,AD Hales,IK Pathan,C Kieswetter,0,0,0,2,168,0,3,1,-,6.0,bowled,AD Hales,,0,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Left arm Medium
7,C Kieswetter,L Balaji,LJ Wright,0,0,0,2,168,1,5,1,-,1.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
8,C Kieswetter,L Balaji,LJ Wright,0,0,0,2,168,1,6,1,-,2.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
9,C Kieswetter,L Balaji,LJ Wright,0,0,0,2,168,1,7,1,-,3.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
10,C Kieswetter,L Balaji,LJ Wright,6,0,6,8,162,7,8,1,-,4.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
11,C Kieswetter,L Balaji,LJ Wright,4,0,4,12,158,11,9,1,-,5.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
12,C Kieswetter,L Balaji,LJ Wright,0,0,0,12,158,11,10,1,-,6.0,0,,,1,field,England,2,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,England,India,False,80,Right hand Bat,Right hand Bat,Right arm Medium
