,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Tamim Iqbal,SS Cottrell,Liton Das,0,0,0,0,129,0,1,0,1,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
1,Tamim Iqbal,SS Cottrell,Liton Das,0,1,1,1,128,0,2,0,2,noballs,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
2,Tamim Iqbal,SS Cottrell,Liton Das,0,0,0,1,128,0,3,0,3,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
3,Tamim Iqbal,SS Cottrell,Liton Das,2,0,2,3,126,2,4,0,4,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
4,Tamim Iqbal,SS Cottrell,Liton Das,4,0,4,7,122,6,5,0,5,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
5,Tamim Iqbal,SS Cottrell,Liton Das,2,0,2,9,120,8,6,0,6,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
6,Tamim Iqbal,SS Cottrell,Liton Das,0,0,0,9,120,8,7,0,7,-,1,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
7,Liton Das,O Thomas,Tamim Iqbal,1,0,1,10,119,1,1,0,1,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
8,Tamim Iqbal,O Thomas,Liton Das,2,0,2,12,117,10,8,0,2,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
9,Tamim Iqbal,O Thomas,Liton Das,2,0,2,14,115,12,9,0,3,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
10,Tamim Iqbal,O Thomas,Liton Das,0,0,0,14,115,12,10,0,4,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
11,Tamim Iqbal,O Thomas,Liton Das,1,0,1,15,114,13,11,0,5,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
12,Liton Das,O Thomas,Tamim Iqbal,0,0,0,15,114,1,2,0,6,-,2,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
13,Tamim Iqbal,SS Cottrell,Liton Das,1,0,1,16,113,14,12,0,1,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
14,Liton Das,SS Cottrell,Tamim Iqbal,4,0,4,20,109,5,3,0,2,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
15,Liton Das,SS Cottrell,Tamim Iqbal,0,0,0,20,109,5,4,0,3,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
16,Liton Das,SS Cottrell,Tamim Iqbal,4,0,4,24,105,9,5,0,4,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
17,Liton Das,SS Cottrell,Tamim Iqbal,4,0,4,28,101,13,6,0,5,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
18,Liton Das,SS Cottrell,Tamim Iqbal,0,0,0,28,101,13,7,0,6,-,3,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
19,Tamim Iqbal,CR Brathwaite,Liton Das,0,0,0,28,101,14,13,0,1,-,4,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
20,Tamim Iqbal,CR Brathwaite,Liton Das,0,0,0,28,101,14,14,0,2,-,4,0,,,field,West Indies,1,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,Bangladesh,West Indies,211
