,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
15,JC Buttler,JR Hazlewood,AD Hales,1,0,1,17,17,12,4,3,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
16,AD Hales,JR Hazlewood,JC Buttler,0,0,0,17,0,5,5,3,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
17,AD Hales,JR Hazlewood,JC Buttler,4,0,4,21,4,6,6,3,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
18,JC Buttler,PJ Cummins,AD Hales,0,0,0,21,17,13,1,4,,caught,JC Buttler,A Zampa,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
19,DJ Malan,PJ Cummins,AD Hales,0,0,0,21,0,1,2,4,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
20,DJ Malan,PJ Cummins,AD Hales,0,0,0,21,0,2,3,4,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
21,DJ Malan,PJ Cummins,AD Hales,4,0,4,25,4,3,4,4,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
22,DJ Malan,PJ Cummins,AD Hales,0,0,0,25,4,4,5,4,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
23,DJ Malan,PJ Cummins,AD Hales,6,0,6,31,10,5,6,4,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
24,AD Hales,MP Stoinis,DJ Malan,0,0,0,31,4,7,1,5,,caught,AD Hales,DA Warner,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
25,BA Stokes,MP Stoinis,DJ Malan,0,0,0,31,0,1,2,5,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
26,BA Stokes,MP Stoinis,DJ Malan,1,0,1,32,1,2,3,5,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
27,DJ Malan,MP Stoinis,BA Stokes,0,0,0,32,10,6,4,5,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
28,DJ Malan,MP Stoinis,BA Stokes,1,0,1,33,11,7,5,5,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
29,BA Stokes,MP Stoinis,DJ Malan,1,0,1,34,2,3,6,5,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
30,BA Stokes,MA Starc,DJ Malan,0,0,0,34,2,4,1,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
31,BA Stokes,MA Starc,DJ Malan,0,0,0,34,2,5,2,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
32,BA Stokes,MA Starc,DJ Malan,1,0,1,35,3,6,3,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
33,DJ Malan,MA Starc,BA Stokes,0,1,1,36,11,8,4,6,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
34,DJ Malan,MA Starc,BA Stokes,4,0,4,40,15,9,5,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
35,DJ Malan,MA Starc,BA Stokes,0,0,0,40,15,10,6,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
36,DJ Malan,MA Starc,BA Stokes,1,0,1,41,16,11,7,6,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
37,DJ Malan,GJ Maxwell,BA Stokes,1,0,1,42,17,12,1,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
38,BA Stokes,GJ Maxwell,DJ Malan,1,0,1,43,4,7,2,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
39,DJ Malan,GJ Maxwell,BA Stokes,1,0,1,44,18,13,3,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
40,BA Stokes,GJ Maxwell,DJ Malan,1,0,1,45,5,8,4,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
41,DJ Malan,GJ Maxwell,BA Stokes,1,0,1,46,19,14,5,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
42,BA Stokes,GJ Maxwell,DJ Malan,1,0,1,47,6,9,6,7,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
43,BA Stokes,A Zampa,DJ Malan,1,0,1,48,7,10,1,8,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
44,DJ Malan,A Zampa,BA Stokes,4,0,4,52,23,15,2,8,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
45,DJ Malan,A Zampa,BA Stokes,1,0,1,53,24,16,3,8,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
46,BA Stokes,A Zampa,DJ Malan,0,0,0,53,7,11,4,8,,bowled,BA Stokes,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
47,HC Brook,A Zampa,DJ Malan,1,0,1,54,1,1,5,8,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
48,DJ Malan,A Zampa,HC Brook,0,0,0,54,24,17,6,8,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
49,HC Brook,MP Stoinis,DJ Malan,0,0,0,54,1,2,1,9,,caught,HC Brook,MS Wade,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
50,MM Ali,MP Stoinis,DJ Malan,0,0,0,54,0,1,2,9,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
51,MM Ali,MP Stoinis,DJ Malan,1,0,1,55,1,2,3,9,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
52,DJ Malan,MP Stoinis,MM Ali,2,0,2,57,26,18,4,9,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
53,DJ Malan,MP Stoinis,MM Ali,1,0,1,58,27,19,5,9,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
54,MM Ali,MP Stoinis,DJ Malan,2,0,2,60,3,3,6,9,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
55,DJ Malan,MA Starc,MM Ali,1,0,1,61,28,20,1,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
56,MM Ali,MA Starc,DJ Malan,0,1,1,62,3,4,2,10,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
57,MM Ali,MA Starc,DJ Malan,1,0,1,63,4,5,3,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
58,DJ Malan,MA Starc,MM Ali,1,0,1,64,29,21,4,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
59,MM Ali,MA Starc,DJ Malan,1,0,1,65,5,6,5,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
