,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,PR Stirling,SS Cottrell,KJ O'Brien,1,0,1,1,146,1,1,0,1,-,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
1,KJ O'Brien,SS Cottrell,PR Stirling,0,4,4,5,142,0,1,0,2,legbyes,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
2,KJ O'Brien,SS Cottrell,PR Stirling,1,0,1,6,141,1,2,0,3,-,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
3,PR Stirling,SS Cottrell,KJ O'Brien,1,0,1,7,140,2,2,0,4,-,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
4,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,7,140,1,3,0,5,-,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
5,KJ O'Brien,SS Cottrell,PR Stirling,1,0,1,8,139,2,4,0,6,-,1,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
6,KJ O'Brien,R Shepherd,PR Stirling,2,0,2,10,137,4,5,0,1,-,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
7,KJ O'Brien,R Shepherd,PR Stirling,4,0,4,14,133,8,6,0,2,-,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
8,KJ O'Brien,R Shepherd,PR Stirling,6,0,6,20,127,14,7,0,3,-,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
9,KJ O'Brien,R Shepherd,PR Stirling,0,0,0,20,127,14,8,0,4,-,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
10,KJ O'Brien,R Shepherd,PR Stirling,0,1,1,21,126,14,9,0,5,legbyes,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
11,PR Stirling,R Shepherd,KJ O'Brien,6,0,6,27,120,8,3,0,6,-,2,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
12,KJ O'Brien,SS Cottrell,PR Stirling,4,0,4,31,116,18,10,0,1,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
13,KJ O'Brien,SS Cottrell,PR Stirling,4,0,4,35,112,22,11,0,2,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
14,KJ O'Brien,SS Cottrell,PR Stirling,4,0,4,39,108,26,12,0,3,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
15,KJ O'Brien,SS Cottrell,PR Stirling,4,0,4,43,104,30,13,0,4,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
16,KJ O'Brien,SS Cottrell,PR Stirling,4,0,4,47,100,34,14,0,5,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
17,KJ O'Brien,SS Cottrell,PR Stirling,1,0,1,48,99,35,15,0,6,-,3,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
18,KJ O'Brien,KA Pollard,PR Stirling,1,0,1,49,98,36,16,0,1,-,4,0,,,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-19,West Indies,Ireland,West Indies,138
