,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,CH Gayle,CJ McKay,J Charles,0,0,0,0,161,0,1,0,1,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
1,CH Gayle,CJ McKay,J Charles,1,0,1,1,160,1,2,0,2,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
2,J Charles,CJ McKay,CH Gayle,0,0,0,1,160,0,1,0,3,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
3,J Charles,CJ McKay,CH Gayle,3,0,3,4,157,3,2,0,4,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
4,CH Gayle,CJ McKay,J Charles,0,0,0,4,157,1,3,0,5,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
5,CH Gayle,CJ McKay,J Charles,1,0,1,5,156,2,4,0,6,1,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
6,CH Gayle,JR Hazlewood,J Charles,0,0,0,5,156,2,5,0,1,2,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
7,CH Gayle,JR Hazlewood,J Charles,6,0,6,11,150,8,6,0,2,2,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
8,CH Gayle,JR Hazlewood,J Charles,0,0,0,11,150,8,7,1,3,2,caught,CH Gayle,NM Coulter-Nile,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
9,J Charles,JR Hazlewood,DM Bravo,1,0,1,12,149,4,3,1,4,2,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
10,DM Bravo,JR Hazlewood,J Charles,1,0,1,13,148,1,1,1,5,2,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
11,J Charles,JR Hazlewood,DM Bravo,4,0,4,17,144,8,4,1,6,2,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
12,DM Bravo,JP Faulkner,J Charles,0,0,0,17,144,1,2,1,1,3,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
13,DM Bravo,JP Faulkner,J Charles,0,0,0,17,144,1,3,1,2,3,0,,,-,bat,West Indies,1,"Brisbane Cricket Ground, Woolloongabba",2013,02,Australia_West Indies_2013-02-13,West Indies,West Indies,Australia,191
