,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,W Madhevere,B Kumar,CR Ervine,,0,0,0,0,186,0,1,1,-,1.0,caught,W Madhevere,V Kohli,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
1,RW Chakabva,B Kumar,CR Ervine,,0,0,0,0,186,0,1,1,-,2.0,0,,,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
2,RW Chakabva,B Kumar,CR Ervine,"{'by': 'India', 'umpire': 'RA Kettleborough', 'batter': 'RW Chakabva', 'decision': 'struck down'}",0,0,0,0,186,0,2,1,-,3.0,0,,,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
3,RW Chakabva,B Kumar,CR Ervine,,0,0,0,0,186,0,3,1,-,4.0,0,,,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
4,RW Chakabva,B Kumar,CR Ervine,,0,0,0,0,186,0,4,1,-,5.0,0,,,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
5,RW Chakabva,B Kumar,CR Ervine,,0,0,0,0,186,0,5,1,-,6.0,0,,,0,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
6,CR Ervine,Arshdeep Singh,RW Chakabva,,0,0,0,0,186,0,1,1,-,1.0,0,,,1,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
7,CR Ervine,Arshdeep Singh,RW Chakabva,,0,0,0,0,186,0,2,1,-,2.0,0,,,1,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
8,CR Ervine,Arshdeep Singh,RW Chakabva,,0,0,0,0,186,0,3,1,-,3.0,0,,,1,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
9,CR Ervine,Arshdeep Singh,RW Chakabva,,0,2,2,2,184,0,4,1,wides,3.0,0,,,1,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
10,RW Chakabva,Arshdeep Singh,CR Ervine,,0,0,0,2,184,0,6,2,-,4.0,bowled,RW Chakabva,,1,bat,India,2,Melbourne Cricket Ground,2022,11,India_Zimbabwe_2022-11-06,India,Zimbabwe,India,False,115
