,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Hafeez,PJ Cummins,Imran Nazir,4,0,4,4,4,1,1,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
1,Mohammad Hafeez,PJ Cummins,Imran Nazir,0,0,0,4,4,2,2,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
2,Mohammad Hafeez,PJ Cummins,Imran Nazir,0,0,0,4,4,3,3,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
3,Mohammad Hafeez,PJ Cummins,Imran Nazir,0,0,0,4,4,4,4,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
4,Mohammad Hafeez,PJ Cummins,Imran Nazir,4,0,4,8,8,5,5,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
5,Mohammad Hafeez,PJ Cummins,Imran Nazir,4,0,4,12,12,6,6,1,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
6,Imran Nazir,MA Starc,Mohammad Hafeez,0,0,0,12,0,1,1,2,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
7,Imran Nazir,MA Starc,Mohammad Hafeez,0,1,1,13,0,2,2,2,wides,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
8,Imran Nazir,MA Starc,Mohammad Hafeez,0,0,0,13,0,3,3,2,-,bowled,Imran Nazir,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
9,Nasir Jamshed,MA Starc,Mohammad Hafeez,0,0,0,13,0,1,4,2,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
10,Nasir Jamshed,MA Starc,Mohammad Hafeez,0,0,0,13,0,2,5,2,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
11,Nasir Jamshed,MA Starc,Mohammad Hafeez,1,0,1,14,1,3,6,2,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
12,Mohammad Hafeez,MA Starc,Nasir Jamshed,0,0,0,14,12,7,7,2,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
13,Nasir Jamshed,PJ Cummins,Mohammad Hafeez,0,1,1,15,1,4,1,3,wides,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
14,Nasir Jamshed,PJ Cummins,Mohammad Hafeez,0,0,0,15,1,5,2,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
15,Nasir Jamshed,PJ Cummins,Mohammad Hafeez,1,0,1,16,2,6,3,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
16,Mohammad Hafeez,PJ Cummins,Nasir Jamshed,0,0,0,16,12,8,4,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
17,Mohammad Hafeez,PJ Cummins,Nasir Jamshed,1,0,1,17,13,9,5,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
18,Nasir Jamshed,PJ Cummins,Mohammad Hafeez,4,0,4,21,6,7,6,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
19,Nasir Jamshed,PJ Cummins,Mohammad Hafeez,4,0,4,25,10,8,7,3,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
20,Mohammad Hafeez,MA Starc,Nasir Jamshed,0,0,0,25,13,10,1,4,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
21,Mohammad Hafeez,MA Starc,Nasir Jamshed,0,0,0,25,13,11,2,4,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
22,Mohammad Hafeez,MA Starc,Nasir Jamshed,0,0,0,25,13,12,3,4,-,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2012-09-07,Pakistan,Australia
