,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,TS Kamunhukamwe,Naveen-ul-Haq,TK Musakanda,0,0,0,0,198,0,1,0,1,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
1,TS Kamunhukamwe,Naveen-ul-Haq,TK Musakanda,0,0,0,0,198,0,2,0,2,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
2,TS Kamunhukamwe,Naveen-ul-Haq,TK Musakanda,1,0,1,1,197,1,3,0,3,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
3,TK Musakanda,Naveen-ul-Haq,TS Kamunhukamwe,0,0,0,1,197,0,1,0,4,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
4,TK Musakanda,Naveen-ul-Haq,TS Kamunhukamwe,1,0,1,2,196,1,2,0,5,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
5,TS Kamunhukamwe,Naveen-ul-Haq,TK Musakanda,1,0,1,3,195,2,4,0,6,1,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
6,TS Kamunhukamwe,Amir Hamza,TK Musakanda,0,0,0,3,195,2,5,0,1,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
7,TS Kamunhukamwe,Amir Hamza,TK Musakanda,1,0,1,4,194,3,6,0,2,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
8,TK Musakanda,Amir Hamza,TS Kamunhukamwe,0,0,0,4,194,1,3,0,3,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
9,TK Musakanda,Amir Hamza,TS Kamunhukamwe,1,0,1,5,193,2,4,0,4,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
10,TS Kamunhukamwe,Amir Hamza,TK Musakanda,0,0,0,5,193,3,7,0,5,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
11,TS Kamunhukamwe,Amir Hamza,TK Musakanda,4,0,4,9,189,7,8,0,6,2,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
12,TK Musakanda,Naveen-ul-Haq,TS Kamunhukamwe,6,0,6,15,183,8,5,0,1,3,-,0,,,field,Zimbabwe,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-17,Afghanistan,Zimbabwe,Afghanistan,150
