,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
11,RG Sharma,Mehedi Hasan Miraz,S Dhawan,0,0,0,24,21,8,6,2,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
12,S Dhawan,Shakib Al Hasan,RG Sharma,6,0,6,30,9,5,1,3,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
13,S Dhawan,Shakib Al Hasan,RG Sharma,1,0,1,31,10,6,2,3,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
14,RG Sharma,Shakib Al Hasan,S Dhawan,1,0,1,32,22,9,3,3,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
15,S Dhawan,Shakib Al Hasan,RG Sharma,0,0,0,32,10,7,4,3,caught,S Dhawan,Ariful Haque,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
16,RG Sharma,Shakib Al Hasan,SK Raina,0,0,0,32,22,10,5,3,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
17,RG Sharma,Shakib Al Hasan,SK Raina,0,0,0,32,22,11,6,3,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
18,SK Raina,Rubel Hossain,RG Sharma,0,0,0,32,0,1,1,4,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
19,SK Raina,Rubel Hossain,RG Sharma,0,0,0,32,0,2,2,4,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
20,SK Raina,Rubel Hossain,RG Sharma,0,0,0,32,0,3,3,4,caught,SK Raina,Mushfiqur Rahim,"{'by': 'Bangladesh', 'batter': 'SK Raina', 'decision': 'upheld'}",,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
21,KL Rahul,Rubel Hossain,RG Sharma,0,0,0,32,0,1,4,4,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
22,KL Rahul,Rubel Hossain,RG Sharma,4,0,4,36,4,2,5,4,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
23,KL Rahul,Rubel Hossain,RG Sharma,1,0,1,37,5,3,6,4,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
24,KL Rahul,Nazmul Islam,RG Sharma,1,0,1,38,6,4,1,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
25,RG Sharma,Nazmul Islam,KL Rahul,0,0,0,38,22,12,2,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
26,RG Sharma,Nazmul Islam,KL Rahul,4,0,4,42,26,13,3,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
27,RG Sharma,Nazmul Islam,KL Rahul,6,0,6,48,32,14,4,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
28,RG Sharma,Nazmul Islam,KL Rahul,0,0,0,48,32,15,5,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
29,RG Sharma,Nazmul Islam,KL Rahul,0,0,0,48,32,16,6,5,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
30,KL Rahul,Mustafizur Rahman,RG Sharma,1,0,1,49,7,5,1,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
31,RG Sharma,Mustafizur Rahman,KL Rahul,4,0,4,53,36,17,2,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
32,RG Sharma,Mustafizur Rahman,KL Rahul,0,0,0,53,36,18,3,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
33,RG Sharma,Mustafizur Rahman,KL Rahul,2,0,2,55,38,19,4,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
34,RG Sharma,Mustafizur Rahman,KL Rahul,0,0,0,55,38,20,5,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
35,RG Sharma,Mustafizur Rahman,KL Rahul,1,0,1,56,39,21,6,6,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
36,RG Sharma,Shakib Al Hasan,KL Rahul,1,0,1,57,40,22,1,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
37,KL Rahul,Shakib Al Hasan,RG Sharma,6,0,6,63,13,6,2,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
38,KL Rahul,Shakib Al Hasan,RG Sharma,1,0,1,64,14,7,3,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
39,RG Sharma,Shakib Al Hasan,KL Rahul,2,0,2,66,42,23,4,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
40,RG Sharma,Shakib Al Hasan,KL Rahul,0,0,0,66,42,24,5,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
41,RG Sharma,Shakib Al Hasan,KL Rahul,1,0,1,67,43,25,6,7,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
42,RG Sharma,Rubel Hossain,KL Rahul,0,0,0,67,43,26,1,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
43,RG Sharma,Rubel Hossain,KL Rahul,1,0,1,68,44,27,2,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
44,KL Rahul,Rubel Hossain,RG Sharma,2,0,2,70,16,8,3,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
45,KL Rahul,Rubel Hossain,RG Sharma,1,0,1,71,17,9,4,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
46,RG Sharma,Rubel Hossain,KL Rahul,0,0,0,71,44,28,5,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
47,RG Sharma,Rubel Hossain,KL Rahul,1,0,1,72,45,29,6,8,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
48,RG Sharma,Nazmul Islam,KL Rahul,0,0,0,72,45,30,1,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
49,RG Sharma,Nazmul Islam,KL Rahul,1,0,1,73,46,31,2,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
50,KL Rahul,Nazmul Islam,RG Sharma,1,0,1,74,18,10,3,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
51,RG Sharma,Nazmul Islam,KL Rahul,1,0,1,75,47,32,4,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
52,KL Rahul,Nazmul Islam,RG Sharma,4,0,4,79,22,11,5,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
53,KL Rahul,Nazmul Islam,RG Sharma,0,1,1,80,22,12,6,9,0,,,,{'wides': 1},wides,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
54,KL Rahul,Nazmul Islam,RG Sharma,1,0,1,81,23,13,7,9,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
55,KL Rahul,Rubel Hossain,RG Sharma,1,0,1,82,24,14,1,10,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
56,RG Sharma,Rubel Hossain,KL Rahul,1,0,1,83,48,33,2,10,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
57,KL Rahul,Rubel Hossain,RG Sharma,0,0,0,83,24,15,3,10,caught,KL Rahul,Sabbir Rahman,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
58,MK Pandey,Rubel Hossain,RG Sharma,0,0,0,83,0,1,4,10,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
59,MK Pandey,Rubel Hossain,RG Sharma,0,0,0,83,0,2,5,10,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
60,MK Pandey,Rubel Hossain,RG Sharma,1,0,1,84,1,3,6,10,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
61,MK Pandey,Shakib Al Hasan,RG Sharma,1,0,1,85,2,4,1,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
62,RG Sharma,Shakib Al Hasan,MK Pandey,1,0,1,86,49,34,2,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
63,MK Pandey,Shakib Al Hasan,RG Sharma,0,0,0,86,2,5,3,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
64,MK Pandey,Shakib Al Hasan,RG Sharma,0,0,0,86,2,6,4,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
65,MK Pandey,Shakib Al Hasan,RG Sharma,0,0,0,86,2,7,5,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
66,MK Pandey,Shakib Al Hasan,RG Sharma,0,0,0,86,2,8,6,11,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
67,RG Sharma,Nazmul Islam,MK Pandey,1,0,1,87,50,35,1,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
68,MK Pandey,Nazmul Islam,RG Sharma,1,0,1,88,3,9,2,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
69,RG Sharma,Nazmul Islam,MK Pandey,1,0,1,89,51,36,3,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
70,MK Pandey,Nazmul Islam,RG Sharma,1,0,1,90,4,10,4,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
71,RG Sharma,Nazmul Islam,MK Pandey,0,0,0,90,51,37,5,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
72,RG Sharma,Nazmul Islam,MK Pandey,1,0,1,91,52,38,6,12,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
73,RG Sharma,Mustafizur Rahman,MK Pandey,2,0,2,93,54,39,1,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
74,RG Sharma,Mustafizur Rahman,MK Pandey,1,0,1,94,55,40,2,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
75,MK Pandey,Mustafizur Rahman,RG Sharma,1,0,1,95,5,11,3,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
76,RG Sharma,Mustafizur Rahman,MK Pandey,1,0,1,96,56,41,4,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
77,MK Pandey,Mustafizur Rahman,RG Sharma,0,0,0,96,5,12,5,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
78,MK Pandey,Mustafizur Rahman,RG Sharma,1,0,1,97,6,13,6,13,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
79,MK Pandey,Nazmul Islam,RG Sharma,1,0,1,98,7,14,1,14,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
