,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,BB McCullum,SW Tait,MJ Guptill,1,0,1,1,1,1,1,-,1,0,bat,New Zealand,4,AMI Stadium,2010-02-28,New Zealand,New Zealand
1,MJ Guptill,SW Tait,BB McCullum,0,1,1,2,0,1,2,wides,1,0,bat,New Zealand,4,AMI Stadium,2010-02-28,New Zealand,New Zealand
2,MJ Guptill,SW Tait,BB McCullum,1,0,1,3,1,2,3,-,1,0,bat,New Zealand,4,AMI Stadium,2010-02-28,New Zealand,New Zealand
3,BB McCullum,SW Tait,MJ Guptill,1,1,2,5,2,2,4,wides,1,0,bat,New Zealand,4,AMI Stadium,2010-02-28,New Zealand,New Zealand
4,MJ Guptill,SW Tait,BB McCullum,4,0,4,9,5,3,5,-,1,0,bat,New Zealand,4,AMI Stadium,2010-02-28,New Zealand,New Zealand
