,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Q de Kock,Shakib Al Hasan,HM Amla,1,0,1,1,1,1,1,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
1,HM Amla,Shakib Al Hasan,Q de Kock,1,0,1,2,1,1,2,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
2,Q de Kock,Shakib Al Hasan,HM Amla,4,0,4,6,5,2,3,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
3,Q de Kock,Shakib Al Hasan,HM Amla,1,0,1,7,6,3,4,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
4,HM Amla,Shakib Al Hasan,Q de Kock,1,0,1,8,2,2,5,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
5,Q de Kock,Shakib Al Hasan,HM Amla,2,0,2,10,8,4,6,1,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
6,HM Amla,Mehedi Hasan Miraz,Q de Kock,1,0,1,11,3,3,1,2,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
7,Q de Kock,Mehedi Hasan Miraz,HM Amla,0,0,0,11,8,5,2,2,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
8,Q de Kock,Mehedi Hasan Miraz,HM Amla,2,0,2,13,10,6,3,2,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
9,Q de Kock,Mehedi Hasan Miraz,HM Amla,4,0,4,17,14,7,4,2,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
10,Q de Kock,Mehedi Hasan Miraz,HM Amla,1,0,1,18,15,8,5,2,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
11,HM Amla,Mehedi Hasan Miraz,Q de Kock,0,0,0,18,3,4,6,2,bowled,HM Amla,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
12,Q de Kock,Rubel Hossain,AB de Villiers,0,0,0,18,15,9,1,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
13,Q de Kock,Rubel Hossain,AB de Villiers,1,0,1,19,16,10,2,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
14,AB de Villiers,Rubel Hossain,Q de Kock,0,0,0,19,0,1,3,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
15,AB de Villiers,Rubel Hossain,Q de Kock,1,0,1,20,1,2,4,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
16,Q de Kock,Rubel Hossain,AB de Villiers,4,0,4,24,20,11,5,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
17,Q de Kock,Rubel Hossain,AB de Villiers,0,1,1,25,20,12,6,3,0,,,{'wides': 1},wides,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
18,Q de Kock,Rubel Hossain,AB de Villiers,1,0,1,26,21,13,7,3,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
19,Q de Kock,Taskin Ahmed,AB de Villiers,4,0,4,30,25,14,1,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
20,Q de Kock,Taskin Ahmed,AB de Villiers,0,0,0,30,25,15,2,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
21,Q de Kock,Taskin Ahmed,AB de Villiers,0,0,0,30,25,16,3,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
22,Q de Kock,Taskin Ahmed,AB de Villiers,1,0,1,31,26,17,4,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
23,AB de Villiers,Taskin Ahmed,Q de Kock,1,0,1,32,2,3,5,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
24,Q de Kock,Taskin Ahmed,AB de Villiers,1,0,1,33,27,18,6,4,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
25,Q de Kock,Rubel Hossain,AB de Villiers,4,0,4,37,31,19,1,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
26,Q de Kock,Rubel Hossain,AB de Villiers,1,0,1,38,32,20,2,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
27,AB de Villiers,Rubel Hossain,Q de Kock,0,0,0,38,2,4,3,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
28,AB de Villiers,Rubel Hossain,Q de Kock,0,0,0,38,2,5,4,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
29,AB de Villiers,Rubel Hossain,Q de Kock,0,1,1,39,2,6,5,5,0,,,{'wides': 1},wides,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
30,AB de Villiers,Rubel Hossain,Q de Kock,4,0,4,43,6,7,6,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
31,AB de Villiers,Rubel Hossain,Q de Kock,4,0,4,47,10,8,7,5,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
32,Q de Kock,Shafiul Islam,AB de Villiers,1,0,1,48,33,21,1,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
33,AB de Villiers,Shafiul Islam,Q de Kock,4,0,4,52,14,9,2,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
34,AB de Villiers,Shafiul Islam,Q de Kock,0,1,1,53,14,10,3,6,0,,,{'wides': 1},wides,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
35,AB de Villiers,Shafiul Islam,Q de Kock,0,0,0,53,14,11,4,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
36,AB de Villiers,Shafiul Islam,Q de Kock,4,0,4,57,18,12,5,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
37,AB de Villiers,Shafiul Islam,Q de Kock,4,0,4,61,22,13,6,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
38,AB de Villiers,Shafiul Islam,Q de Kock,4,0,4,65,26,14,7,6,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
39,Q de Kock,Mohammad Saifuddin,AB de Villiers,1,0,1,66,34,22,1,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
40,AB de Villiers,Mohammad Saifuddin,Q de Kock,0,0,0,66,26,15,2,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
41,AB de Villiers,Mohammad Saifuddin,Q de Kock,2,0,2,68,28,16,3,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
42,AB de Villiers,Mohammad Saifuddin,Q de Kock,4,0,4,72,32,17,4,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
43,AB de Villiers,Mohammad Saifuddin,Q de Kock,4,0,4,76,36,18,5,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
44,AB de Villiers,Mohammad Saifuddin,Q de Kock,1,0,1,77,37,19,6,7,0,,,,-,bat,South Africa,1,Mangaung Oval,2017-10-26,South Africa,Bangladesh
