,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MDKJ Perera,BC Fortuin,LD Chandimal,1,0,1,1,,1,1,0,1,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
1,LD Chandimal,BC Fortuin,MDKJ Perera,0,0,0,1,,0,1,0,2,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
2,LD Chandimal,BC Fortuin,MDKJ Perera,0,0,0,1,,0,2,0,3,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
3,LD Chandimal,BC Fortuin,MDKJ Perera,0,0,0,1,,0,3,0,4,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
4,LD Chandimal,BC Fortuin,MDKJ Perera,2,0,2,3,,2,4,0,5,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
5,LD Chandimal,BC Fortuin,MDKJ Perera,1,0,1,4,,3,5,0,6,0,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
6,LD Chandimal,A Nortje,MDKJ Perera,1,0,1,5,,4,6,0,1,1,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
7,MDKJ Perera,A Nortje,LD Chandimal,2,0,2,7,,3,2,0,2,1,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
8,MDKJ Perera,A Nortje,LD Chandimal,1,0,1,8,,4,3,0,3,1,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
9,LD Chandimal,A Nortje,MDKJ Perera,1,0,1,9,,5,7,0,4,1,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
10,MDKJ Perera,A Nortje,LD Chandimal,1,0,1,10,,5,4,0,5,1,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
11,LD Chandimal,A Nortje,MDKJ Perera,0,0,0,10,,5,8,1,6,1,caught,LD Chandimal,KA Maharaj,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
12,MDKJ Perera,K Rabada,PBB Rajapaksa,0,0,0,10,,5,5,1,1,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
13,MDKJ Perera,K Rabada,PBB Rajapaksa,4,0,4,14,,9,6,1,2,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
14,MDKJ Perera,K Rabada,PBB Rajapaksa,1,0,1,15,,10,7,1,3,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
15,PBB Rajapaksa,K Rabada,MDKJ Perera,0,0,0,15,,0,1,1,4,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
16,PBB Rajapaksa,K Rabada,MDKJ Perera,4,0,4,19,,4,2,1,5,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
17,PBB Rajapaksa,K Rabada,MDKJ Perera,6,0,6,25,,10,3,1,6,2,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
18,MDKJ Perera,A Nortje,PBB Rajapaksa,1,0,1,26,,11,8,1,1,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
19,PBB Rajapaksa,A Nortje,MDKJ Perera,0,0,0,26,,10,4,1,2,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
20,PBB Rajapaksa,A Nortje,MDKJ Perera,0,0,0,26,,10,5,1,3,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
21,PBB Rajapaksa,A Nortje,MDKJ Perera,0,0,0,26,,10,6,1,4,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
22,PBB Rajapaksa,A Nortje,MDKJ Perera,0,0,0,26,,10,7,1,5,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
23,PBB Rajapaksa,A Nortje,MDKJ Perera,1,0,1,27,,11,8,1,6,3,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
24,PBB Rajapaksa,AK Markram,MDKJ Perera,1,0,1,28,,12,9,1,1,4,0,,,,-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
25,MDKJ Perera,AK Markram,PBB Rajapaksa,0,0,0,28,,11,9,1,2,4,0,,,"{'by': 'South Africa', 'umpire': 'RSA Palliyaguruge', 'batter': 'MDKJ Perera', 'decision': 'struck down', 'umpires_call': True}",-,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
26,MDKJ Perera,AK Markram,PBB Rajapaksa,0,2,2,30,,11,10,1,3,4,0,,,,wides,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,Sri Lanka,South Africa,False,103
