,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,SPD Smith,Arshdeep Singh,MW Short,0,1,1,1,234,0,1,0,1,wides,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
1,SPD Smith,Arshdeep Singh,MW Short,1,0,1,2,233,1,2,0,2,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
2,MW Short,Arshdeep Singh,SPD Smith,4,0,4,6,229,4,1,0,3,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
3,MW Short,Arshdeep Singh,SPD Smith,1,0,1,7,228,5,2,0,4,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
4,SPD Smith,Arshdeep Singh,MW Short,4,0,4,11,224,5,3,0,5,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
5,SPD Smith,Arshdeep Singh,MW Short,0,0,0,11,224,5,4,0,6,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
6,SPD Smith,Arshdeep Singh,MW Short,0,0,0,11,224,5,5,0,7,-,0,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
7,MW Short,M Prasidh Krishna,SPD Smith,4,0,4,15,220,9,3,0,1,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
8,MW Short,M Prasidh Krishna,SPD Smith,2,0,2,17,218,11,4,0,2,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
9,MW Short,M Prasidh Krishna,SPD Smith,4,0,4,21,214,15,5,0,3,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
10,MW Short,M Prasidh Krishna,SPD Smith,1,0,1,22,213,16,6,0,4,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
11,SPD Smith,M Prasidh Krishna,MW Short,0,1,1,23,212,5,6,0,5,wides,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
12,SPD Smith,M Prasidh Krishna,MW Short,2,0,2,25,210,7,7,0,6,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
13,SPD Smith,M Prasidh Krishna,MW Short,6,0,6,31,204,13,8,0,7,-,1,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
14,MW Short,Ravi Bishnoi,SPD Smith,0,0,0,31,204,16,7,0,1,-,2,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
15,MW Short,Ravi Bishnoi,SPD Smith,1,0,1,32,203,17,8,0,2,-,2,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
16,SPD Smith,Ravi Bishnoi,MW Short,1,0,1,33,202,14,9,0,3,-,2,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
17,MW Short,Ravi Bishnoi,SPD Smith,2,0,2,35,200,19,9,0,4,-,2,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
18,MW Short,Ravi Bishnoi,SPD Smith,0,0,0,35,200,19,10,1,5,-,2,bowled,MW Short,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
19,JP Inglis,Ravi Bishnoi,SPD Smith,1,0,1,36,199,1,1,1,6,-,2,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
20,JP Inglis,AR Patel,SPD Smith,0,0,0,36,199,1,2,1,1,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
21,JP Inglis,AR Patel,SPD Smith,1,0,1,37,198,2,3,1,2,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
22,SPD Smith,AR Patel,JP Inglis,0,0,0,37,198,14,10,1,3,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
23,SPD Smith,AR Patel,JP Inglis,0,0,0,37,198,14,11,1,4,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
24,SPD Smith,AR Patel,JP Inglis,0,0,0,37,198,14,12,1,5,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
25,SPD Smith,AR Patel,JP Inglis,1,0,1,38,197,15,13,1,6,-,3,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
26,SPD Smith,Ravi Bishnoi,JP Inglis,1,0,1,39,196,16,14,1,1,-,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
27,JP Inglis,Ravi Bishnoi,SPD Smith,0,0,0,39,196,2,4,2,2,-,4,caught,JP Inglis,Tilak Varma,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
28,GJ Maxwell,Ravi Bishnoi,SPD Smith,0,1,1,40,195,0,1,2,3,wides,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
29,GJ Maxwell,Ravi Bishnoi,SPD Smith,1,0,1,41,194,1,2,2,4,-,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
30,SPD Smith,Ravi Bishnoi,GJ Maxwell,1,0,1,42,193,17,15,2,5,-,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
31,GJ Maxwell,Ravi Bishnoi,SPD Smith,0,0,0,42,193,1,3,2,6,-,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
32,GJ Maxwell,Ravi Bishnoi,SPD Smith,1,0,1,43,192,2,4,2,7,-,4,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
33,GJ Maxwell,AR Patel,SPD Smith,4,0,4,47,188,6,5,2,1,-,5,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
34,GJ Maxwell,AR Patel,SPD Smith,0,0,0,47,188,6,6,2,2,-,5,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
35,GJ Maxwell,AR Patel,SPD Smith,6,0,6,53,182,12,7,2,3,-,5,0,,,,field,Australia,2,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,Australia,India,191
