,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
48,DP Conway,O Thomas,,JDS Neesham,2,0,2,83,26,15,4,-,0,,,8,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
49,DP Conway,O Thomas,,JDS Neesham,0,0,0,83,26,16,5,-,0,,,8,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
50,DP Conway,O Thomas,,JDS Neesham,0,0,0,83,26,17,6,-,0,,,8,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
51,JDS Neesham,KMA Paul,,DP Conway,0,0,0,83,9,5,1,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
52,JDS Neesham,KMA Paul,,DP Conway,0,0,0,83,9,6,2,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
53,JDS Neesham,KMA Paul,,DP Conway,1,0,1,84,10,7,3,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
54,DP Conway,KMA Paul,,JDS Neesham,4,0,4,88,30,18,4,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
55,DP Conway,KMA Paul,,JDS Neesham,0,0,0,88,30,19,5,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
56,DP Conway,KMA Paul,{'noballs': 1},JDS Neesham,2,1,3,91,32,20,6,noballs,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
57,DP Conway,KMA Paul,,JDS Neesham,4,0,4,95,36,21,7,-,0,,,9,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
58,JDS Neesham,KOK Williams,{'noballs': 1},DP Conway,6,1,7,102,16,8,1,noballs,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
59,JDS Neesham,KOK Williams,,DP Conway,4,0,4,106,20,9,2,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
60,JDS Neesham,KOK Williams,,DP Conway,6,0,6,112,26,10,3,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
61,JDS Neesham,KOK Williams,,DP Conway,4,0,4,116,30,11,4,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
