,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Tamim Iqbal,Sikandar Raza,Liton Das,0,0,0,0,155,0,1,0,1,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
1,Tamim Iqbal,Sikandar Raza,Liton Das,0,0,0,0,155,0,2,0,2,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
2,Tamim Iqbal,Sikandar Raza,Liton Das,1,0,1,1,154,1,3,0,3,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
3,Liton Das,Sikandar Raza,Tamim Iqbal,0,0,0,1,154,0,1,0,4,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
4,Liton Das,Sikandar Raza,Tamim Iqbal,6,0,6,7,148,6,2,0,5,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
5,Liton Das,Sikandar Raza,Tamim Iqbal,4,0,4,11,144,10,3,0,6,1,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
6,Tamim Iqbal,CT Mumba,Liton Das,4,0,4,15,140,5,4,0,1,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
7,Tamim Iqbal,CT Mumba,Liton Das,0,0,0,15,140,5,5,0,2,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
8,Tamim Iqbal,CT Mumba,Liton Das,1,0,1,16,139,6,6,0,3,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
9,Liton Das,CT Mumba,Tamim Iqbal,0,0,0,16,139,10,4,0,4,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
