,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,B Kumar,JC Buttler,0,0,0,0,156,0,1,0,1,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
1,JJ Roy,B Kumar,JC Buttler,0,0,0,0,156,0,2,0,2,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
2,JJ Roy,B Kumar,JC Buttler,0,0,0,0,156,0,3,0,3,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
3,JJ Roy,B Kumar,JC Buttler,0,0,0,0,156,0,4,0,4,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
4,JJ Roy,B Kumar,JC Buttler,1,0,1,1,155,1,5,0,5,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
5,JC Buttler,B Kumar,JJ Roy,3,0,3,4,152,3,1,0,6,1,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
6,JC Buttler,SN Thakur,JJ Roy,0,0,0,4,152,3,2,0,1,2,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
7,JC Buttler,SN Thakur,JJ Roy,2,0,2,6,150,5,3,0,2,2,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
8,JC Buttler,SN Thakur,JJ Roy,1,0,1,7,149,6,4,0,3,2,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
9,JJ Roy,SN Thakur,JC Buttler,0,0,0,7,149,1,6,0,4,2,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
10,JJ Roy,SN Thakur,JC Buttler,0,0,0,7,149,1,7,0,5,2,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
11,JJ Roy,SN Thakur,JC Buttler,0,0,0,7,149,1,8,0,6,2,"{'by': 'India', 'umpire': 'VK Sharma', 'batter': 'JJ Roy', 'decision': 'struck down'}",0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
12,JC Buttler,B Kumar,JJ Roy,0,0,0,7,149,6,5,0,1,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
13,JC Buttler,B Kumar,JJ Roy,1,0,1,8,148,7,6,0,2,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
14,JJ Roy,B Kumar,JC Buttler,0,0,0,8,148,1,9,0,3,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
15,JJ Roy,B Kumar,JC Buttler,4,0,4,12,144,5,10,0,4,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
16,JJ Roy,B Kumar,JC Buttler,4,0,4,16,140,9,11,0,5,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
17,JJ Roy,B Kumar,JC Buttler,0,0,0,16,140,9,12,0,6,3,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
18,JC Buttler,YS Chahal,JJ Roy,6,0,6,22,134,13,7,0,1,4,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
19,JC Buttler,YS Chahal,JJ Roy,1,0,1,23,133,14,8,0,2,4,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
20,JJ Roy,YS Chahal,JC Buttler,0,0,0,23,133,9,13,1,3,4,,caught,JJ Roy,RG Sharma,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
21,DJ Malan,YS Chahal,JC Buttler,1,0,1,24,132,1,1,1,4,4,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
22,JC Buttler,YS Chahal,DJ Malan,6,0,6,30,126,20,9,1,5,4,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
23,JC Buttler,YS Chahal,DJ Malan,0,0,0,30,126,20,10,1,6,4,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
24,DJ Malan,SN Thakur,JC Buttler,0,1,1,31,125,1,2,1,1,5,,0,,,wides,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
25,DJ Malan,SN Thakur,JC Buttler,0,0,0,31,125,1,3,1,2,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
26,DJ Malan,SN Thakur,JC Buttler,1,0,1,32,124,2,4,1,3,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
27,JC Buttler,SN Thakur,DJ Malan,4,0,4,36,120,24,11,1,4,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
28,JC Buttler,SN Thakur,DJ Malan,4,0,4,40,116,28,12,1,5,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
29,JC Buttler,SN Thakur,DJ Malan,0,0,0,40,116,28,13,1,6,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
30,JC Buttler,SN Thakur,DJ Malan,6,0,6,46,110,34,14,1,7,5,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
31,DJ Malan,YS Chahal,JC Buttler,1,0,1,47,109,3,5,1,1,6,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
32,JC Buttler,YS Chahal,DJ Malan,4,0,4,51,105,38,15,1,2,6,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
33,JC Buttler,YS Chahal,DJ Malan,1,0,1,52,104,39,16,1,3,6,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
34,DJ Malan,YS Chahal,JC Buttler,0,0,0,52,104,3,6,1,4,6,,0,,,-,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-16,England,England,India,158
