,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
29,SE Marsh,MDK Perera,DA Warner,0,0,0,39,4,7,4,5,,-,lbw,SE Marsh,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
30,DJ Hussey,MDK Perera,DA Warner,0,0,0,39,0,1,5,5,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
31,DJ Hussey,MDK Perera,DA Warner,1,0,1,40,1,2,6,5,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
32,DA Warner,MDK Perera,DJ Hussey,0,0,0,40,21,14,7,5,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
33,DJ Hussey,KTGD Prasad,DA Warner,4,0,4,44,5,3,1,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
34,DJ Hussey,KTGD Prasad,DA Warner,0,0,0,44,5,4,2,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
35,DJ Hussey,KTGD Prasad,DA Warner,0,0,0,44,5,5,3,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
36,DJ Hussey,KTGD Prasad,DA Warner,0,0,0,44,5,6,4,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
37,DJ Hussey,KTGD Prasad,DA Warner,1,0,1,45,6,7,5,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
38,DA Warner,KTGD Prasad,DJ Hussey,4,0,4,49,25,15,6,6,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
39,DJ Hussey,MDK Perera,DA Warner,0,0,0,49,6,8,1,7,,-,bowled,DJ Hussey,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
40,CL White,MDK Perera,DA Warner,1,0,1,50,1,1,2,7,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
41,DA Warner,MDK Perera,CL White,1,0,1,51,26,16,3,7,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
42,CL White,MDK Perera,DA Warner,0,0,0,51,1,2,4,7,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
43,CL White,MDK Perera,DA Warner,1,0,1,52,2,3,5,7,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
44,DA Warner,MDK Perera,CL White,1,0,1,53,27,17,6,7,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
45,DA Warner,KTGD Prasad,CL White,4,0,4,57,31,18,1,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
46,DA Warner,KTGD Prasad,CL White,1,0,1,58,32,19,2,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
47,CL White,KTGD Prasad,DA Warner,4,0,4,62,6,4,3,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
48,CL White,KTGD Prasad,DA Warner,0,0,0,62,6,5,4,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
49,CL White,KTGD Prasad,DA Warner,1,0,1,63,7,6,5,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
50,DA Warner,KTGD Prasad,CL White,0,0,0,63,32,20,6,8,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
51,CL White,MDK Perera,DA Warner,0,0,0,63,7,7,1,9,,-,bowled,CL White,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
52,SPD Smith,MDK Perera,DA Warner,1,0,1,64,1,1,2,9,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
53,DA Warner,MDK Perera,SPD Smith,0,0,0,64,32,21,3,9,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
54,DA Warner,MDK Perera,SPD Smith,1,0,1,65,33,22,4,9,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
55,SPD Smith,MDK Perera,DA Warner,0,0,0,65,1,2,5,9,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
56,SPD Smith,MDK Perera,DA Warner,1,0,1,66,2,3,6,9,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
57,SPD Smith,TM Dilshan,DA Warner,0,0,0,66,2,4,1,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
58,SPD Smith,TM Dilshan,DA Warner,0,0,0,66,2,5,2,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
59,SPD Smith,TM Dilshan,DA Warner,0,0,0,66,2,6,3,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
60,SPD Smith,TM Dilshan,DA Warner,1,0,1,67,3,7,4,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
61,DA Warner,TM Dilshan,SPD Smith,3,0,3,70,36,23,5,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
62,SPD Smith,TM Dilshan,DA Warner,1,0,1,71,4,8,6,10,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
63,SPD Smith,HMRKB Herath,DA Warner,0,0,0,71,4,9,1,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
64,SPD Smith,HMRKB Herath,DA Warner,1,0,1,72,5,10,2,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
65,DA Warner,HMRKB Herath,SPD Smith,1,0,1,73,37,24,3,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
66,SPD Smith,HMRKB Herath,DA Warner,1,0,1,74,6,11,4,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
67,DA Warner,HMRKB Herath,SPD Smith,1,0,1,75,38,25,5,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
68,SPD Smith,HMRKB Herath,DA Warner,1,0,1,76,7,12,6,11,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
69,SPD Smith,TM Dilshan,DA Warner,2,0,2,78,9,13,1,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
70,SPD Smith,TM Dilshan,DA Warner,2,0,2,80,11,14,2,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
71,SPD Smith,TM Dilshan,DA Warner,1,0,1,81,12,15,3,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
72,DA Warner,TM Dilshan,SPD Smith,6,0,6,87,44,26,4,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
73,DA Warner,TM Dilshan,SPD Smith,1,0,1,88,45,27,5,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
74,SPD Smith,TM Dilshan,DA Warner,0,0,0,88,12,16,6,12,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
75,DA Warner,HMRKB Herath,SPD Smith,1,0,1,89,46,28,1,13,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
76,SPD Smith,HMRKB Herath,DA Warner,0,0,0,89,12,17,2,13,,-,stumped,SPD Smith,KC Sangakkara,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
77,BJ Haddin,HMRKB Herath,DA Warner,0,0,0,89,0,1,3,13,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
78,BJ Haddin,HMRKB Herath,DA Warner,1,0,1,90,1,2,4,13,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
79,DA Warner,HMRKB Herath,BJ Haddin,1,0,1,91,47,29,5,13,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
80,BJ Haddin,HMRKB Herath,DA Warner,1,0,1,92,2,3,6,13,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
81,BJ Haddin,TM Dilshan,DA Warner,1,0,1,93,3,4,1,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
82,DA Warner,TM Dilshan,BJ Haddin,1,0,1,94,48,30,2,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
83,BJ Haddin,TM Dilshan,DA Warner,0,0,0,94,3,5,3,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
84,BJ Haddin,TM Dilshan,DA Warner,0,0,0,94,3,6,4,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
85,BJ Haddin,TM Dilshan,DA Warner,3,0,3,97,6,7,5,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
86,DA Warner,TM Dilshan,BJ Haddin,4,0,4,101,52,31,6,14,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
87,BJ Haddin,HMRKB Herath,DA Warner,0,0,0,101,6,8,1,15,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
88,BJ Haddin,HMRKB Herath,DA Warner,1,0,1,102,7,9,2,15,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
89,DA Warner,HMRKB Herath,BJ Haddin,1,0,1,103,53,32,3,15,,-,run out,BJ Haddin,AD Mathews;KC Sangakkara,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
90,MG Johnson,HMRKB Herath,DA Warner,0,0,0,103,0,1,4,15,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
91,MG Johnson,HMRKB Herath,DA Warner,0,0,0,103,0,2,5,15,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
92,MG Johnson,HMRKB Herath,DA Warner,0,0,0,103,0,3,6,15,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
93,DA Warner,KMDN Kulasekara,MG Johnson,0,1,1,104,53,33,1,16,{'wides': 1},wides,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
94,DA Warner,KMDN Kulasekara,MG Johnson,0,1,1,105,53,34,2,16,{'wides': 1},wides,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
95,DA Warner,KMDN Kulasekara,MG Johnson,0,0,0,105,53,35,3,16,,-,caught,DA Warner,TM Dilshan,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
