,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,YBK Jaiswal,MP Stoinis,RD Gaikwad,0,0,0,0,208,0,1,0,1,-,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
1,YBK Jaiswal,MP Stoinis,RD Gaikwad,1,0,1,1,207,1,2,0,2,-,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
2,RD Gaikwad,MP Stoinis,YBK Jaiswal,4,0,4,5,203,4,1,0,3,-,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
3,RD Gaikwad,MP Stoinis,YBK Jaiswal,1,0,1,6,202,5,2,0,4,-,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
4,YBK Jaiswal,MP Stoinis,RD Gaikwad,0,1,1,7,201,1,3,0,5,wides,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
5,YBK Jaiswal,MP Stoinis,RD Gaikwad,1,0,1,8,200,2,4,0,6,-,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
6,RD Gaikwad,MP Stoinis,YBK Jaiswal,0,2,2,10,198,5,3,0,7,legbyes,1,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
7,YBK Jaiswal,NT Ellis,RD Gaikwad,0,0,0,10,198,2,5,0,1,-,2,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
8,YBK Jaiswal,NT Ellis,RD Gaikwad,1,0,1,11,197,3,6,0,2,-,2,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
9,RD Gaikwad,NT Ellis,YBK Jaiswal,0,1,1,12,196,5,4,0,3,wides,2,0,,,field,Australia,1,"Greenfield International Stadium, Thiruvananthapuram",2023,11,India_Australia_2023-11-26,India,India,Australia,235
