,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,WTS Porterfield,K Santokie,PR Stirling,0,0,0,0,96,0,1,0,1,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
1,WTS Porterfield,K Santokie,PR Stirling,0,0,0,0,96,0,2,0,2,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
2,WTS Porterfield,K Santokie,PR Stirling,1,0,1,1,95,1,3,0,3,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
3,PR Stirling,K Santokie,WTS Porterfield,0,0,0,1,95,0,1,0,4,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
4,PR Stirling,K Santokie,WTS Porterfield,0,0,0,1,95,0,2,0,5,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
5,PR Stirling,K Santokie,WTS Porterfield,2,0,2,3,93,2,3,0,6,1,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
6,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,4,0,1,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
7,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,5,0,2,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
8,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,6,0,3,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
9,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,7,0,4,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
10,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,8,0,5,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
11,WTS Porterfield,S Badree,PR Stirling,0,0,0,3,93,1,9,0,6,2,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
12,PR Stirling,K Santokie,WTS Porterfield,0,0,0,3,93,2,4,0,1,3,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
13,PR Stirling,K Santokie,WTS Porterfield,0,0,0,3,93,2,5,1,2,3,bowled,PR Stirling,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
14,EC Joyce,K Santokie,WTS Porterfield,1,0,1,4,92,1,1,1,3,3,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
15,WTS Porterfield,K Santokie,EC Joyce,0,0,0,4,92,1,10,1,4,3,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
16,WTS Porterfield,K Santokie,EC Joyce,0,0,0,4,92,1,11,1,5,3,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
17,WTS Porterfield,K Santokie,EC Joyce,0,0,0,4,92,1,12,1,6,3,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
18,EC Joyce,S Badree,WTS Porterfield,0,0,0,4,92,1,2,1,1,4,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
19,EC Joyce,S Badree,WTS Porterfield,0,0,0,4,92,1,3,1,2,4,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
20,EC Joyce,S Badree,WTS Porterfield,0,0,0,4,92,1,4,1,3,4,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
21,EC Joyce,S Badree,WTS Porterfield,4,0,4,8,88,5,5,1,4,4,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
22,EC Joyce,S Badree,WTS Porterfield,1,0,1,9,87,6,6,1,5,4,0,,,-,field,Ireland,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-21,West Indies,Ireland,West Indies,85
