,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Liton Das,SC Williams,Soumya Sarkar,0,0,0,0,144,0,1,0,1,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
1,Liton Das,SC Williams,Soumya Sarkar,1,0,1,1,143,1,2,0,2,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
2,Soumya Sarkar,SC Williams,Liton Das,1,0,1,2,142,1,1,0,3,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
3,Liton Das,SC Williams,Soumya Sarkar,0,0,0,2,142,1,3,0,4,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
4,Liton Das,SC Williams,Soumya Sarkar,6,0,6,8,136,7,4,0,5,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
5,Liton Das,SC Williams,Soumya Sarkar,0,0,0,8,136,7,5,0,6,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
6,Soumya Sarkar,KM Jarvis,Liton Das,1,0,1,9,135,2,2,0,1,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
7,Liton Das,KM Jarvis,Soumya Sarkar,0,0,0,9,135,7,6,0,2,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
8,Liton Das,KM Jarvis,Soumya Sarkar,4,0,4,13,131,11,7,0,3,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
9,Liton Das,KM Jarvis,Soumya Sarkar,2,0,2,15,129,13,8,0,4,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
10,Liton Das,KM Jarvis,Soumya Sarkar,1,1,2,17,127,14,9,0,5,2,noballs,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
11,Soumya Sarkar,KM Jarvis,Liton Das,0,0,0,17,127,2,3,0,6,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
12,Soumya Sarkar,KM Jarvis,Liton Das,0,0,0,17,127,2,4,0,7,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
13,Liton Das,TL Chatara,Soumya Sarkar,1,0,1,18,126,15,10,0,1,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
14,Soumya Sarkar,TL Chatara,Liton Das,1,0,1,19,125,3,5,0,2,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
15,Liton Das,TL Chatara,Soumya Sarkar,2,1,3,22,122,17,11,0,3,3,noballs,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
16,Liton Das,TL Chatara,Soumya Sarkar,2,0,2,24,120,19,12,0,4,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
17,Liton Das,TL Chatara,Soumya Sarkar,0,1,1,25,119,19,13,0,5,3,legbyes,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
18,Soumya Sarkar,TL Chatara,Liton Das,1,0,1,26,118,4,6,0,6,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
19,Liton Das,TL Chatara,Soumya Sarkar,0,0,0,26,118,19,14,1,7,3,-,bowled,Liton Das,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
20,Soumya Sarkar,KM Jarvis,Shakib Al Hasan,0,0,0,26,118,4,7,2,1,4,-,caught,Soumya Sarkar,N Madziva,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
21,Shakib Al Hasan,KM Jarvis,Mushfiqur Rahim,0,0,0,26,118,0,1,2,2,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
22,Shakib Al Hasan,KM Jarvis,Mushfiqur Rahim,1,0,1,27,117,1,2,2,3,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
23,Mushfiqur Rahim,KM Jarvis,Shakib Al Hasan,0,0,0,27,117,0,1,3,4,4,-,caught,Mushfiqur Rahim,BRM Taylor,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
24,Mahmudullah,KM Jarvis,Shakib Al Hasan,0,0,0,27,117,0,1,3,5,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
25,Mahmudullah,KM Jarvis,Shakib Al Hasan,1,0,1,28,116,1,2,3,6,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
26,Mahmudullah,TL Chatara,Shakib Al Hasan,0,0,0,28,116,1,3,3,1,5,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Zimbabwe_2019-09-13,Bangladesh,Bangladesh,Zimbabwe,148
