,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Rizwan,Mahedi Hasan,Babar Azam,4,0,4,4,4,1,1,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
1,Mohammad Rizwan,Mahedi Hasan,Babar Azam,0,0,0,4,4,2,2,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
2,Mohammad Rizwan,Mahedi Hasan,Babar Azam,1,0,1,5,5,3,3,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
3,Babar Azam,Mahedi Hasan,Mohammad Rizwan,0,0,0,5,0,1,4,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
4,Babar Azam,Mahedi Hasan,Mohammad Rizwan,0,0,0,5,0,2,5,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
5,Babar Azam,Mahedi Hasan,Mohammad Rizwan,0,0,0,5,0,3,6,1,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
6,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,5,5,4,1,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
7,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,5,5,5,2,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
8,Mohammad Rizwan,Taskin Ahmed,Babar Azam,4,0,4,9,9,6,3,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
9,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,9,9,7,4,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
10,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,9,9,8,5,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
11,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,9,9,9,6,2,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
12,Babar Azam,Mustafizur Rahman,Mohammad Rizwan,0,1,1,10,0,4,1,3,wides,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
13,Babar Azam,Mustafizur Rahman,Mohammad Rizwan,1,0,1,11,1,5,2,3,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
14,Mohammad Rizwan,Mustafizur Rahman,Babar Azam,1,0,1,12,10,10,3,3,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
15,Babar Azam,Mustafizur Rahman,Mohammad Rizwan,0,0,0,12,1,6,4,3,-,bowled,Babar Azam,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
16,Fakhar Zaman,Mustafizur Rahman,Mohammad Rizwan,0,0,0,12,0,1,5,3,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
17,Fakhar Zaman,Mustafizur Rahman,Mohammad Rizwan,0,0,0,12,0,2,6,3,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
18,Fakhar Zaman,Mustafizur Rahman,Mohammad Rizwan,0,0,0,12,0,3,7,3,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
19,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,0,0,0,12,10,11,1,4,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
20,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,0,0,0,12,10,12,2,4,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
21,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,0,1,1,13,10,13,3,4,legbyes,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
22,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,0,0,0,13,0,4,4,4,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
