,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
23,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,1,0,1,14,1,5,5,4,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
24,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,1,0,1,15,11,14,6,4,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
25,Mohammad Rizwan,Mustafizur Rahman,Fakhar Zaman,0,0,0,15,11,15,1,5,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
26,Mohammad Rizwan,Mustafizur Rahman,Fakhar Zaman,1,0,1,16,12,16,2,5,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
27,Fakhar Zaman,Mustafizur Rahman,Mohammad Rizwan,1,0,1,17,2,6,3,5,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
28,Mohammad Rizwan,Mustafizur Rahman,Fakhar Zaman,0,0,0,17,12,17,4,5,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
29,Mohammad Rizwan,Mustafizur Rahman,Fakhar Zaman,0,1,1,18,12,18,5,5,legbyes,0,,,"{'by': 'Bangladesh', 'umpire': 'Gazi Sohel', 'batter': 'Mohammad Rizwan', 'decision': 'struck down'}",,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
30,Fakhar Zaman,Mustafizur Rahman,Mohammad Rizwan,6,0,6,24,8,7,6,5,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
31,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,0,0,0,24,12,19,1,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
32,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,0,0,0,24,12,20,2,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
33,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,1,0,1,25,13,21,3,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
34,Fakhar Zaman,Shoriful Islam,Mohammad Rizwan,1,0,1,26,9,8,4,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
35,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,0,0,0,26,13,22,5,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
36,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,1,0,1,27,14,23,6,6,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
37,Mohammad Rizwan,Mahedi Hasan,Fakhar Zaman,1,0,1,28,15,24,1,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
38,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,0,0,0,28,9,9,2,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
39,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,2,0,2,30,11,10,3,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
40,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,1,0,1,31,12,11,4,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
41,Mohammad Rizwan,Mahedi Hasan,Fakhar Zaman,1,0,1,32,16,25,5,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
42,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,0,0,0,32,12,12,6,7,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
43,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,0,0,0,32,16,26,1,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
44,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,33,17,27,2,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
45,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,0,0,0,33,12,13,3,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
46,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,34,13,14,4,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
47,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,35,18,28,5,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
48,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,36,14,15,6,8,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
49,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,0,0,0,36,14,16,1,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
50,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,0,0,0,36,14,17,2,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
51,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,2,0,2,38,16,18,3,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
52,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,1,0,1,39,17,19,4,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
53,Mohammad Rizwan,Mahedi Hasan,Fakhar Zaman,1,0,1,40,19,29,5,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
54,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,1,0,1,41,18,20,6,9,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
55,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,42,19,21,1,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
56,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,4,0,4,46,23,30,2,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
57,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,2,0,2,48,25,31,3,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
58,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,49,26,32,4,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
59,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,50,20,22,5,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
60,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,0,0,0,50,26,33,6,10,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
61,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,1,0,1,51,21,23,1,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
62,Mohammad Rizwan,Mahedi Hasan,Fakhar Zaman,1,0,1,52,27,34,2,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
63,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,1,0,1,53,22,24,3,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
64,Mohammad Rizwan,Mahedi Hasan,Fakhar Zaman,1,0,1,54,28,35,4,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
65,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,0,0,0,54,22,25,5,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
66,Fakhar Zaman,Mahedi Hasan,Mohammad Rizwan,4,0,4,58,26,26,6,11,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
67,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,0,1,1,59,28,36,1,12,wides,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
68,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,60,29,37,2,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
69,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,4,0,4,64,30,27,3,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
70,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,65,31,28,4,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
71,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,4,0,4,69,33,38,5,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
72,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,70,34,39,6,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
73,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,71,32,29,7,12,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
74,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,0,0,0,71,32,30,1,13,-,0,,,"{'by': 'Bangladesh', 'umpire': 'Gazi Sohel', 'batter': 'Fakhar Zaman', 'decision': 'struck down'}",,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
75,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,2,0,2,73,34,31,2,13,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
76,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,0,0,0,73,34,32,3,13,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
77,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,0,0,0,73,34,33,4,13,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
78,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,1,0,1,74,35,34,5,13,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
79,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,1,0,1,75,35,40,6,13,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
80,Mohammad Rizwan,Mustafizur Rahman,Fakhar Zaman,1,0,1,76,36,41,1,14,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
81,Fakhar Zaman,Shoriful Islam,Mohammad Rizwan,0,0,0,76,35,35,2,14,-,0,,,,"{'role': [{'in': 'Shoriful Islam', 'out': 'Mustafizur Rahman', 'reason': 'unknown', 'role': 'bowler'}]}",bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
82,Fakhar Zaman,Shoriful Islam,Mohammad Rizwan,0,0,0,76,35,36,3,14,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
83,Fakhar Zaman,Shoriful Islam,Mohammad Rizwan,6,0,6,82,41,37,4,14,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
84,Fakhar Zaman,Shoriful Islam,Mohammad Rizwan,1,0,1,83,42,38,5,14,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
85,Mohammad Rizwan,Shoriful Islam,Fakhar Zaman,0,0,0,83,36,42,6,14,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
86,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,6,0,6,89,48,39,1,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
87,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,2,0,2,91,50,40,2,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
88,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,1,0,1,92,51,41,3,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
89,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,1,0,1,93,37,43,4,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
90,Fakhar Zaman,Taskin Ahmed,Mohammad Rizwan,1,0,1,94,52,42,5,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
91,Mohammad Rizwan,Taskin Ahmed,Fakhar Zaman,1,0,1,95,38,44,6,15,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
92,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,1,0,1,96,39,45,1,16,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
93,Fakhar Zaman,Aminul Islam,Mohammad Rizwan,1,0,1,97,53,43,2,16,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
94,Mohammad Rizwan,Aminul Islam,Fakhar Zaman,0,0,0,97,39,46,3,16,-,caught,Mohammad Rizwan,Saif Hassan,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
95,Haider Ali,Aminul Islam,Fakhar Zaman,1,0,1,98,1,1,4,16,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
96,Fakhar Zaman,Aminul Islam,Haider Ali,1,0,1,99,54,44,5,16,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
97,Haider Ali,Aminul Islam,Fakhar Zaman,0,0,0,99,1,2,6,16,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
98,Fakhar Zaman,Nazmul Hossain Shanto,Haider Ali,1,0,1,100,55,45,1,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
99,Haider Ali,Nazmul Hossain Shanto,Fakhar Zaman,0,0,0,100,1,3,2,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
100,Haider Ali,Nazmul Hossain Shanto,Fakhar Zaman,0,0,0,100,1,4,3,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
101,Haider Ali,Nazmul Hossain Shanto,Fakhar Zaman,0,2,2,102,1,5,4,17,wides,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
102,Fakhar Zaman,Nazmul Hossain Shanto,Haider Ali,0,0,0,102,55,46,5,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
103,Fakhar Zaman,Nazmul Hossain Shanto,Haider Ali,0,0,0,102,55,47,6,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
104,Fakhar Zaman,Nazmul Hossain Shanto,Haider Ali,0,0,0,102,55,48,7,17,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
105,Haider Ali,Afif Hossain,Fakhar Zaman,0,0,0,102,1,6,1,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
106,Haider Ali,Afif Hossain,Fakhar Zaman,4,0,4,106,5,7,2,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
107,Haider Ali,Afif Hossain,Fakhar Zaman,0,0,0,106,5,8,3,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
108,Haider Ali,Afif Hossain,Fakhar Zaman,1,0,1,107,6,9,4,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
109,Fakhar Zaman,Afif Hossain,Haider Ali,0,0,0,107,55,49,5,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
110,Fakhar Zaman,Afif Hossain,Haider Ali,1,0,1,108,56,50,6,18,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
111,Fakhar Zaman,Saif Hassan,Haider Ali,1,0,1,109,57,51,1,19,-,0,,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-20,Pakistan,Bangladesh
