,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Hazratullah,B Kumar,Rahmanullah Gurbaz,,0,0,0,0,212,0,1,0,-,1.0,0,,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Left hand Bat,,Right arm Medium
1,Hazratullah,B Kumar,Rahmanullah Gurbaz,,0,0,0,0,212,0,2,0,-,2.0,0,,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Left hand Bat,,Right arm Medium
2,Hazratullah,B Kumar,Rahmanullah Gurbaz,,0,0,0,0,212,0,3,0,-,3.0,0,,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Left hand Bat,,Right arm Medium
3,Hazratullah,B Kumar,Rahmanullah Gurbaz,"{'by': 'Afghanistan', 'umpire': 'Asif Yaqoob', 'batter': 'Hazratullah', 'decision': 'struck down'}",0,0,0,0,212,0,4,1,-,4.0,lbw,Hazratullah,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Left hand Bat,,Right arm Medium
4,Ibrahim Zadran,B Kumar,Rahmanullah Gurbaz,,1,0,1,1,211,1,1,1,-,5.0,0,,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Right hand Bat,,Right arm Medium
5,Rahmanullah Gurbaz,B Kumar,Ibrahim Zadran,,0,0,0,1,211,0,1,2,-,6.0,bowled,Rahmanullah Gurbaz,,0,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,,Right hand Bat,Right arm Medium
6,Ibrahim Zadran,DL Chahar,Karim Janat,,0,0,0,1,211,1,2,2,-,1.0,0,,,1,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Right hand Bat,Right hand Bat,Right arm Medium
7,Ibrahim Zadran,DL Chahar,Karim Janat,,0,0,0,1,211,1,3,2,-,2.0,0,,,1,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Right hand Bat,Right hand Bat,Right arm Medium
8,Ibrahim Zadran,DL Chahar,Karim Janat,,0,0,0,1,211,1,4,2,-,3.0,0,,,1,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Right hand Bat,Right hand Bat,Right arm Medium
9,Ibrahim Zadran,DL Chahar,Karim Janat,,1,0,1,2,210,2,5,2,-,4.0,0,,,1,field,Afghanistan,2,Dubai International Cricket Stadium,2022,09,India_Afghanistan_2022-09-08,India,Afghanistan,India,False,111,Right hand Bat,Right hand Bat,Right arm Medium
