,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,MA Starc,S Dhawan,1,0,1,1,1,1,1,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
1,S Dhawan,MA Starc,RG Sharma,0,0,0,1,0,1,2,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
2,S Dhawan,MA Starc,RG Sharma,1,0,1,2,1,2,3,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
3,RG Sharma,MA Starc,S Dhawan,1,0,1,3,2,2,4,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
4,S Dhawan,MA Starc,RG Sharma,0,0,0,3,1,3,5,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
5,S Dhawan,MA Starc,RG Sharma,0,0,0,3,1,4,6,1,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
6,RG Sharma,NM Coulter-Nile,S Dhawan,4,0,4,7,6,3,1,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
7,RG Sharma,NM Coulter-Nile,S Dhawan,1,0,1,8,7,4,2,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
8,S Dhawan,NM Coulter-Nile,RG Sharma,0,0,0,8,1,5,3,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
9,S Dhawan,NM Coulter-Nile,RG Sharma,0,0,0,8,1,6,4,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
10,S Dhawan,NM Coulter-Nile,RG Sharma,0,0,0,8,1,7,5,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
