,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,KL Rahul,DR Sams,S Dhawan,0,0,0,0,0,1,1,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
1,KL Rahul,DR Sams,S Dhawan,0,0,0,0,0,2,2,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
2,KL Rahul,DR Sams,S Dhawan,2,0,2,2,2,3,3,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
3,KL Rahul,DR Sams,S Dhawan,0,0,0,2,2,4,4,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
4,KL Rahul,DR Sams,S Dhawan,2,0,2,4,4,5,5,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
5,KL Rahul,DR Sams,S Dhawan,1,0,1,5,5,6,6,1,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
6,KL Rahul,SA Abbott,S Dhawan,1,0,1,6,6,7,1,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
7,S Dhawan,SA Abbott,KL Rahul,0,0,0,6,0,1,2,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
8,S Dhawan,SA Abbott,KL Rahul,1,0,1,7,1,2,3,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
9,KL Rahul,SA Abbott,S Dhawan,1,0,1,8,7,8,4,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
10,S Dhawan,SA Abbott,KL Rahul,0,0,0,8,1,3,5,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
11,S Dhawan,SA Abbott,KL Rahul,1,0,1,9,2,4,6,2,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
12,S Dhawan,AJ Tye,KL Rahul,0,1,1,10,2,5,1,3,"{'by': 'Australia', 'umpire': 'P Wilson', 'batter': 'S Dhawan', 'decision': 'struck down'}",legbyes,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
13,KL Rahul,AJ Tye,S Dhawan,0,0,0,10,7,9,2,3,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
14,KL Rahul,AJ Tye,S Dhawan,2,0,2,12,9,10,3,3,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
15,KL Rahul,AJ Tye,S Dhawan,0,1,1,13,9,11,4,3,,noballs,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
16,KL Rahul,AJ Tye,S Dhawan,6,0,6,19,15,12,5,3,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
17,KL Rahul,AJ Tye,S Dhawan,1,0,1,20,16,13,6,3,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
18,S Dhawan,AJ Tye,KL Rahul,4,0,4,24,6,6,7,3,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
19,KL Rahul,GJ Maxwell,S Dhawan,4,0,4,28,20,14,1,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
20,KL Rahul,GJ Maxwell,S Dhawan,3,0,3,31,23,15,2,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
21,S Dhawan,GJ Maxwell,KL Rahul,6,0,6,37,12,7,3,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
22,S Dhawan,GJ Maxwell,KL Rahul,4,0,4,41,16,8,4,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
23,S Dhawan,GJ Maxwell,KL Rahul,1,0,1,42,17,9,5,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
24,KL Rahul,GJ Maxwell,S Dhawan,1,0,1,43,24,16,6,4,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
25,KL Rahul,SA Abbott,S Dhawan,4,0,4,47,28,17,1,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
26,KL Rahul,SA Abbott,S Dhawan,1,0,1,48,29,18,2,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
27,S Dhawan,SA Abbott,KL Rahul,1,0,1,49,18,10,3,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
28,KL Rahul,SA Abbott,S Dhawan,0,0,0,49,29,19,4,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
29,KL Rahul,SA Abbott,S Dhawan,1,0,1,50,30,20,5,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
30,S Dhawan,SA Abbott,KL Rahul,6,0,6,56,24,11,6,5,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
31,KL Rahul,AJ Tye,S Dhawan,0,0,0,56,30,21,1,6,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
32,KL Rahul,AJ Tye,S Dhawan,0,0,0,56,30,22,2,6,,-,caught,KL Rahul,MJ Swepson,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
33,S Dhawan,AJ Tye,V Kohli,0,0,0,56,24,12,3,6,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
34,S Dhawan,AJ Tye,V Kohli,4,0,4,60,28,13,4,6,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
35,S Dhawan,AJ Tye,V Kohli,0,0,0,60,28,14,5,6,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
36,S Dhawan,AJ Tye,V Kohli,0,0,0,60,28,15,6,6,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
37,V Kohli,MJ Swepson,S Dhawan,1,0,1,61,1,1,1,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
38,S Dhawan,MJ Swepson,V Kohli,0,0,0,61,28,16,2,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
39,S Dhawan,MJ Swepson,V Kohli,0,0,0,61,28,17,3,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
40,S Dhawan,MJ Swepson,V Kohli,1,0,1,62,29,18,4,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
41,V Kohli,MJ Swepson,S Dhawan,1,0,1,63,2,2,5,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
42,S Dhawan,MJ Swepson,V Kohli,1,0,1,64,30,19,6,7,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
43,S Dhawan,MC Henriques,V Kohli,1,0,1,65,31,20,1,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
44,V Kohli,MC Henriques,S Dhawan,1,0,1,66,3,3,2,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
45,S Dhawan,MC Henriques,V Kohli,4,0,4,70,35,21,3,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
46,S Dhawan,MC Henriques,V Kohli,1,0,1,71,36,22,4,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
47,V Kohli,MC Henriques,S Dhawan,0,0,0,71,3,4,5,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
48,V Kohli,MC Henriques,S Dhawan,2,0,2,73,5,5,6,8,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
49,S Dhawan,MJ Swepson,V Kohli,0,0,0,73,36,23,1,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
50,S Dhawan,MJ Swepson,V Kohli,2,0,2,75,38,24,2,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
51,S Dhawan,MJ Swepson,V Kohli,1,0,1,76,39,25,3,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
52,V Kohli,MJ Swepson,S Dhawan,0,0,0,76,5,6,4,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
53,V Kohli,MJ Swepson,S Dhawan,1,0,1,77,6,7,5,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
54,S Dhawan,MJ Swepson,V Kohli,0,1,1,78,39,26,6,9,,wides,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
55,S Dhawan,MJ Swepson,V Kohli,3,0,3,81,42,27,7,9,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
56,S Dhawan,A Zampa,V Kohli,0,0,0,81,42,28,1,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
57,S Dhawan,A Zampa,V Kohli,1,0,1,82,43,29,2,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
58,V Kohli,A Zampa,S Dhawan,1,0,1,83,7,8,3,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
59,S Dhawan,A Zampa,V Kohli,1,0,1,84,44,30,4,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
60,V Kohli,A Zampa,S Dhawan,1,0,1,85,8,9,5,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
61,S Dhawan,A Zampa,V Kohli,1,0,1,86,45,31,6,10,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
62,S Dhawan,MJ Swepson,V Kohli,2,0,2,88,47,32,1,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
63,S Dhawan,MJ Swepson,V Kohli,0,0,0,88,47,33,2,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
64,S Dhawan,MJ Swepson,V Kohli,2,0,2,90,49,34,3,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
65,S Dhawan,MJ Swepson,V Kohli,1,0,1,91,50,35,4,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
66,V Kohli,MJ Swepson,S Dhawan,1,0,1,92,9,10,5,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
67,S Dhawan,MJ Swepson,V Kohli,2,0,2,94,52,36,6,11,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
68,V Kohli,A Zampa,S Dhawan,1,0,1,95,10,11,1,12,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
69,S Dhawan,A Zampa,V Kohli,0,0,0,95,52,37,2,12,,-,caught,S Dhawan,MJ Swepson,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
70,V Kohli,A Zampa,SV Samson,1,0,1,96,11,12,3,12,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
71,SV Samson,A Zampa,V Kohli,1,0,1,97,1,1,4,12,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
72,V Kohli,A Zampa,SV Samson,6,0,6,103,17,13,5,12,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
73,V Kohli,A Zampa,SV Samson,2,0,2,105,19,14,6,12,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
74,SV Samson,DR Sams,V Kohli,0,0,0,105,1,2,1,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
75,SV Samson,DR Sams,V Kohli,2,0,2,107,3,3,2,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
76,SV Samson,DR Sams,V Kohli,4,0,4,111,7,4,3,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
77,SV Samson,DR Sams,V Kohli,6,0,6,117,13,5,4,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
78,SV Samson,DR Sams,V Kohli,0,0,0,117,13,6,5,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
79,SV Samson,DR Sams,V Kohli,1,0,1,118,14,7,6,13,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
80,SV Samson,MJ Swepson,V Kohli,1,0,1,119,15,8,1,14,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
81,V Kohli,MJ Swepson,SV Samson,1,0,1,120,20,15,2,14,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
82,SV Samson,MJ Swepson,V Kohli,0,0,0,120,15,9,3,14,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
83,SV Samson,MJ Swepson,V Kohli,0,0,0,120,15,10,4,14,,-,caught,SV Samson,SPD Smith,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
84,HH Pandya,MJ Swepson,V Kohli,2,0,2,122,2,1,5,14,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
