,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,TM Dilshan,Mohammad Amir,ST Jayasuriya,0,0,0,0,0,1,1,0,,,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
1,TM Dilshan,Mohammad Amir,ST Jayasuriya,0,0,0,0,0,2,2,0,,,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
2,TM Dilshan,Mohammad Amir,ST Jayasuriya,0,0,0,0,0,3,3,0,,,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
3,TM Dilshan,Mohammad Amir,ST Jayasuriya,0,0,0,0,0,4,4,0,,,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
4,TM Dilshan,Mohammad Amir,ST Jayasuriya,0,0,0,0,0,5,5,caught,TM Dilshan,Shahzaib Hasan,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
5,ST Jayasuriya,Mohammad Amir,J Mubarak,0,0,0,0,0,1,6,0,,,1,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
6,J Mubarak,Abdul Razzaq,ST Jayasuriya,0,1,1,1,0,1,1,0,,,2,legbyes,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
7,ST Jayasuriya,Abdul Razzaq,J Mubarak,1,0,1,2,1,2,2,0,,,2,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
8,J Mubarak,Abdul Razzaq,ST Jayasuriya,0,0,0,2,0,2,3,caught,J Mubarak,Shahzaib Hasan,2,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
9,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,0,0,0,2,1,3,4,0,,,2,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
10,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,2,0,2,4,3,4,5,0,,,2,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
11,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,4,0,4,8,7,5,6,0,,,2,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
12,KC Sangakkara,Mohammad Amir,ST Jayasuriya,0,0,0,8,0,1,1,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
13,KC Sangakkara,Mohammad Amir,ST Jayasuriya,0,0,0,8,0,2,2,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
14,KC Sangakkara,Mohammad Amir,ST Jayasuriya,4,0,4,12,4,3,3,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
15,KC Sangakkara,Mohammad Amir,ST Jayasuriya,4,0,4,16,8,4,4,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
16,KC Sangakkara,Mohammad Amir,ST Jayasuriya,0,0,0,16,8,5,5,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
17,KC Sangakkara,Mohammad Amir,ST Jayasuriya,0,0,0,16,8,6,6,0,,,3,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
18,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,6,0,6,22,13,6,1,0,,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
19,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,4,0,4,26,17,7,2,0,,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
20,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,0,0,0,26,17,8,3,0,,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
21,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,0,0,0,26,17,9,4,0,,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
22,ST Jayasuriya,Abdul Razzaq,KC Sangakkara,0,0,0,26,17,10,5,bowled,ST Jayasuriya,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
23,DPMD Jayawardene,Abdul Razzaq,KC Sangakkara,0,0,0,26,0,1,6,0,,,4,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
24,KC Sangakkara,Mohammad Amir,DPMD Jayawardene,2,0,2,28,10,7,1,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
25,KC Sangakkara,Mohammad Amir,DPMD Jayawardene,1,0,1,29,11,8,2,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
26,DPMD Jayawardene,Mohammad Amir,KC Sangakkara,1,0,1,30,1,2,3,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
27,KC Sangakkara,Mohammad Amir,DPMD Jayawardene,0,0,0,30,11,9,4,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
28,KC Sangakkara,Mohammad Amir,DPMD Jayawardene,0,0,0,30,11,10,5,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
29,KC Sangakkara,Mohammad Amir,DPMD Jayawardene,1,0,1,31,12,11,6,0,,,5,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
30,KC Sangakkara,Abdul Razzaq,DPMD Jayawardene,1,0,1,32,13,12,1,0,,,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
31,DPMD Jayawardene,Abdul Razzaq,KC Sangakkara,0,0,0,32,1,3,2,0,,,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
32,DPMD Jayawardene,Abdul Razzaq,KC Sangakkara,0,0,0,32,1,4,3,caught,DPMD Jayawardene,Misbah-ul-Haq,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
33,LPC Silva,Abdul Razzaq,KC Sangakkara,0,0,0,32,0,1,4,0,,,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
34,LPC Silva,Abdul Razzaq,KC Sangakkara,1,0,1,33,1,2,5,0,,,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
35,KC Sangakkara,Abdul Razzaq,LPC Silva,1,0,1,34,14,13,6,0,,,6,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
36,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,35,15,14,1,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
37,LPC Silva,Shahid Afridi,KC Sangakkara,1,0,1,36,2,3,2,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
38,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,37,16,15,3,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
39,LPC Silva,Shahid Afridi,KC Sangakkara,1,0,1,38,3,4,4,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
40,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,39,17,16,5,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
41,LPC Silva,Shahid Afridi,KC Sangakkara,0,0,0,39,3,5,6,0,,,7,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
42,KC Sangakkara,Saeed Ajmal,LPC Silva,1,0,1,40,18,17,1,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
43,LPC Silva,Saeed Ajmal,KC Sangakkara,0,0,0,40,3,6,2,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
44,LPC Silva,Saeed Ajmal,KC Sangakkara,0,0,0,40,3,7,3,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
45,LPC Silva,Saeed Ajmal,KC Sangakkara,0,0,0,40,3,8,4,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
46,LPC Silva,Saeed Ajmal,KC Sangakkara,4,0,4,44,7,9,5,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
47,LPC Silva,Saeed Ajmal,KC Sangakkara,0,0,0,44,7,10,6,0,,,8,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
48,KC Sangakkara,Shahid Afridi,LPC Silva,0,0,0,44,18,18,1,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
49,KC Sangakkara,Shahid Afridi,LPC Silva,0,0,0,44,18,19,2,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
50,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,45,19,20,3,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
51,LPC Silva,Shahid Afridi,KC Sangakkara,0,0,0,45,7,11,4,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
52,LPC Silva,Shahid Afridi,KC Sangakkara,0,0,0,45,7,12,5,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
53,LPC Silva,Shahid Afridi,KC Sangakkara,1,0,1,46,8,13,6,0,,,9,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
54,LPC Silva,Shoaib Malik,KC Sangakkara,1,0,1,47,9,14,1,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
55,KC Sangakkara,Shoaib Malik,LPC Silva,1,0,1,48,20,21,2,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
56,LPC Silva,Shoaib Malik,KC Sangakkara,4,0,4,52,13,15,3,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
57,LPC Silva,Shoaib Malik,KC Sangakkara,1,0,1,53,14,16,4,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
58,KC Sangakkara,Shoaib Malik,LPC Silva,0,0,0,53,20,22,5,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
59,KC Sangakkara,Shoaib Malik,LPC Silva,1,0,1,54,21,23,6,0,,,10,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
60,KC Sangakkara,Shahid Afridi,LPC Silva,0,0,0,54,21,24,1,0,,,11,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
61,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,55,22,25,2,0,,,11,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
62,LPC Silva,Shahid Afridi,KC Sangakkara,0,1,1,56,14,17,3,0,,,11,legbyes,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
63,KC Sangakkara,Shahid Afridi,LPC Silva,4,0,4,60,26,26,4,0,,,11,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
64,KC Sangakkara,Shahid Afridi,LPC Silva,4,0,4,64,30,27,5,0,,,11,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
65,KC Sangakkara,Shahid Afridi,LPC Silva,1,0,1,65,31,28,6,0,,,11,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
66,KC Sangakkara,Umar Gul,LPC Silva,1,0,1,66,32,29,1,0,,,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
67,LPC Silva,Umar Gul,KC Sangakkara,0,1,1,67,14,18,2,0,,,12,wides,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
68,LPC Silva,Umar Gul,KC Sangakkara,0,0,0,67,14,19,3,0,,,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
69,LPC Silva,Umar Gul,KC Sangakkara,0,0,0,67,14,20,4,caught,LPC Silva,Saeed Ajmal,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
70,I Udana,Umar Gul,KC Sangakkara,0,0,0,67,0,1,5,0,,,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
71,I Udana,Umar Gul,KC Sangakkara,0,0,0,67,0,2,6,0,,,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
72,I Udana,Umar Gul,KC Sangakkara,0,0,0,67,0,3,7,0,,,12,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
73,KC Sangakkara,Shahid Afridi,I Udana,0,0,0,67,32,30,1,0,,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
74,KC Sangakkara,Shahid Afridi,I Udana,1,0,1,68,33,31,2,0,,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
75,I Udana,Shahid Afridi,KC Sangakkara,1,0,1,69,1,4,3,0,,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
76,KC Sangakkara,Shahid Afridi,I Udana,0,0,0,69,33,32,4,0,,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
77,KC Sangakkara,Shahid Afridi,I Udana,1,0,1,70,34,33,5,0,,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
78,I Udana,Shahid Afridi,KC Sangakkara,0,0,0,70,1,5,6,bowled,I Udana,,13,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
79,KC Sangakkara,Saeed Ajmal,AD Mathews,0,0,0,70,34,34,1,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
80,KC Sangakkara,Saeed Ajmal,AD Mathews,1,0,1,71,35,35,2,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
81,AD Mathews,Saeed Ajmal,KC Sangakkara,0,0,0,71,0,1,3,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
82,AD Mathews,Saeed Ajmal,KC Sangakkara,1,0,1,72,1,2,4,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
83,KC Sangakkara,Saeed Ajmal,AD Mathews,1,0,1,73,36,36,5,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
84,AD Mathews,Saeed Ajmal,KC Sangakkara,1,0,1,74,2,3,6,0,,,14,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
85,AD Mathews,Umar Gul,KC Sangakkara,0,1,1,75,2,4,1,0,,,15,wides,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
86,AD Mathews,Umar Gul,KC Sangakkara,1,0,1,76,3,5,2,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
87,KC Sangakkara,Umar Gul,AD Mathews,1,0,1,77,37,37,3,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
88,AD Mathews,Umar Gul,KC Sangakkara,0,0,0,77,3,6,4,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
89,AD Mathews,Umar Gul,KC Sangakkara,1,0,1,78,4,7,5,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
90,KC Sangakkara,Umar Gul,AD Mathews,1,0,1,79,38,38,6,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
91,AD Mathews,Umar Gul,KC Sangakkara,0,0,0,79,4,8,7,0,,,15,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
92,KC Sangakkara,Saeed Ajmal,AD Mathews,1,0,1,80,39,39,1,0,,,16,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
93,AD Mathews,Saeed Ajmal,KC Sangakkara,1,0,1,81,5,9,2,0,,,16,-,bat,Sri Lanka,1,Lord's,2009-06-21,Pakistan,Sri Lanka,Pakistan
