,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
78,GJ Maxwell,C de Grandhomme,DJM Short,1,0,1,152,1,1,5,-,12,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
79,DJM Short,C de Grandhomme,GJ Maxwell,6,0,6,158,63,38,6,-,12,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
80,DJM Short,C de Grandhomme,GJ Maxwell,4,0,4,162,67,39,7,-,12,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
81,GJ Maxwell,BM Wheeler,DJM Short,6,0,6,168,7,2,1,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
82,GJ Maxwell,BM Wheeler,DJM Short,4,0,4,172,11,3,2,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
83,GJ Maxwell,BM Wheeler,DJM Short,1,0,1,173,12,4,3,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
84,DJM Short,BM Wheeler,GJ Maxwell,0,0,0,173,67,40,4,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
85,DJM Short,BM Wheeler,GJ Maxwell,1,0,1,174,68,41,5,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
86,GJ Maxwell,BM Wheeler,DJM Short,1,0,1,175,13,5,6,-,13,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
87,GJ Maxwell,TA Boult,DJM Short,1,0,1,176,14,6,1,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
88,DJM Short,TA Boult,GJ Maxwell,0,0,0,176,68,42,2,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
89,DJM Short,TA Boult,GJ Maxwell,4,0,4,180,72,43,3,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
90,DJM Short,TA Boult,GJ Maxwell,1,0,1,181,73,44,4,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
91,GJ Maxwell,TA Boult,DJM Short,4,0,4,185,18,7,5,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
92,GJ Maxwell,TA Boult,DJM Short,1,0,1,186,19,8,6,-,14,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
93,GJ Maxwell,IS Sodhi,DJM Short,6,0,6,192,25,9,1,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
94,GJ Maxwell,IS Sodhi,DJM Short,1,0,1,193,26,10,2,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
95,DJM Short,IS Sodhi,GJ Maxwell,0,0,0,193,73,45,3,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
96,DJM Short,IS Sodhi,GJ Maxwell,1,0,1,194,74,46,4,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
97,GJ Maxwell,IS Sodhi,DJM Short,0,0,0,194,26,11,5,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
98,GJ Maxwell,IS Sodhi,DJM Short,1,0,1,195,27,12,6,-,15,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
99,GJ Maxwell,TG Southee,DJM Short,4,0,4,199,31,13,1,-,16,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
100,GJ Maxwell,TG Southee,DJM Short,0,0,0,199,31,14,2,-,16,bowled,GJ Maxwell,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
101,AJ Finch,TG Southee,DJM Short,0,0,0,199,0,1,3,-,16,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
102,AJ Finch,TG Southee,DJM Short,1,0,1,200,1,2,4,-,16,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
103,DJM Short,TG Southee,AJ Finch,1,0,1,201,75,47,5,-,16,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
104,AJ Finch,TG Southee,DJM Short,1,0,1,202,2,3,6,-,16,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
