,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Liton Das,WP Masakadza,Munim Shahriar,0,0,0,0,0,1,1,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
1,Liton Das,WP Masakadza,Munim Shahriar,1,0,1,1,1,2,2,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
2,Munim Shahriar,WP Masakadza,Liton Das,1,0,1,2,1,1,3,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
3,Liton Das,WP Masakadza,Munim Shahriar,0,0,0,2,1,3,4,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
4,Liton Das,WP Masakadza,Munim Shahriar,1,0,1,3,2,4,5,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
5,Munim Shahriar,WP Masakadza,Liton Das,4,0,4,7,5,2,6,1,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
6,Liton Das,R Ngarava,Munim Shahriar,0,0,0,7,2,5,1,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
7,Liton Das,R Ngarava,Munim Shahriar,0,0,0,7,2,6,2,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
8,Liton Das,R Ngarava,Munim Shahriar,1,0,1,8,3,7,3,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
9,Munim Shahriar,R Ngarava,Liton Das,1,0,1,9,6,3,4,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
10,Liton Das,R Ngarava,Munim Shahriar,1,0,1,10,4,8,5,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
11,Munim Shahriar,R Ngarava,Liton Das,0,0,0,10,6,4,6,2,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
12,Liton Das,TL Chivanga,Munim Shahriar,0,0,0,10,4,9,1,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
13,Liton Das,TL Chivanga,Munim Shahriar,6,0,6,16,10,10,2,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
14,Liton Das,TL Chivanga,Munim Shahriar,4,0,4,20,14,11,3,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
15,Liton Das,TL Chivanga,Munim Shahriar,6,0,6,26,20,12,4,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
16,Liton Das,TL Chivanga,Munim Shahriar,0,0,0,26,20,13,5,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
17,Liton Das,TL Chivanga,Munim Shahriar,1,0,1,27,21,14,6,3,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
18,Liton Das,WP Masakadza,Munim Shahriar,2,0,2,29,23,15,1,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
19,Liton Das,WP Masakadza,Munim Shahriar,1,0,1,30,24,16,2,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
20,Munim Shahriar,WP Masakadza,Liton Das,0,0,0,30,6,5,3,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
21,Munim Shahriar,WP Masakadza,Liton Das,0,0,0,30,6,6,4,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
22,Munim Shahriar,WP Masakadza,Liton Das,1,0,1,31,7,7,5,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
23,Liton Das,WP Masakadza,Munim Shahriar,1,0,1,32,25,17,6,4,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
24,Liton Das,R Ngarava,Munim Shahriar,4,0,4,36,29,18,1,5,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
25,Liton Das,R Ngarava,Munim Shahriar,1,0,1,37,30,19,2,5,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
26,Munim Shahriar,R Ngarava,Liton Das,0,0,0,37,7,8,3,5,bowled,Munim Shahriar,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
27,Anamul Haque,R Ngarava,Liton Das,4,0,4,41,4,1,4,5,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
28,Anamul Haque,R Ngarava,Liton Das,1,0,1,42,5,2,5,5,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
29,Liton Das,R Ngarava,Anamul Haque,1,0,1,43,31,20,6,5,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
30,Liton Das,WP Masakadza,Anamul Haque,4,0,4,47,35,21,1,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
31,Liton Das,WP Masakadza,Anamul Haque,1,0,1,48,36,22,2,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
32,Anamul Haque,WP Masakadza,Liton Das,0,0,0,48,5,3,3,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
33,Anamul Haque,WP Masakadza,Liton Das,0,0,0,48,5,4,4,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
34,Anamul Haque,WP Masakadza,Liton Das,4,0,4,52,9,5,5,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
35,Anamul Haque,WP Masakadza,Liton Das,1,0,1,53,10,6,6,6,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
36,Anamul Haque,SC Williams,Liton Das,1,0,1,54,11,7,1,7,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
37,Liton Das,SC Williams,Anamul Haque,2,0,2,56,38,23,2,7,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
38,Liton Das,SC Williams,Anamul Haque,1,0,1,57,39,24,3,7,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
39,Anamul Haque,SC Williams,Liton Das,1,0,1,58,12,8,4,7,0,,,-,bat,Zimbabwe,2,Harare Sports Club,2022-07-31,Bangladesh,Zimbabwe
