,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Rahmanullah Gurbaz,Imad Wasim,Sediqullah Atal,0,0,0,0,182,0,1,0,-,1.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
1,Rahmanullah Gurbaz,Imad Wasim,Sediqullah Atal,1,0,1,1,181,1,2,0,-,2.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
2,Sediqullah Atal,Imad Wasim,Rahmanullah Gurbaz,0,0,0,1,181,0,1,0,-,3.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
3,Sediqullah Atal,Imad Wasim,Rahmanullah Gurbaz,0,0,0,1,181,0,2,0,-,4.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
4,Sediqullah Atal,Imad Wasim,Rahmanullah Gurbaz,0,0,0,1,181,0,3,0,-,5.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
5,Sediqullah Atal,Imad Wasim,Rahmanullah Gurbaz,1,0,1,2,180,1,4,0,-,6.0,0,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Left arm Orthodox
6,Sediqullah Atal,Zaman Khan,Rahmanullah Gurbaz,0,0,0,2,180,1,5,0,-,1.0,1,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Right arm Fast
7,Sediqullah Atal,Zaman Khan,Rahmanullah Gurbaz,0,0,0,2,180,1,6,0,-,2.0,1,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Right arm Fast
8,Sediqullah Atal,Zaman Khan,Rahmanullah Gurbaz,0,0,0,2,180,1,7,0,-,3.0,1,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Right arm Fast
9,Sediqullah Atal,Zaman Khan,Rahmanullah Gurbaz,0,0,0,2,180,1,8,0,-,4.0,1,0,,,,,field,Afghanistan,2,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-27,Pakistan,Afghanistan,Pakistan,False,116,,,Right arm Fast
