,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,KL Rahul,Mohammad Nabi,RG Sharma,0,0,0,0,84,0,1,0,1,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
1,KL Rahul,Mohammad Nabi,RG Sharma,1,0,1,1,83,1,2,0,2,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
2,RG Sharma,Mohammad Nabi,KL Rahul,1,0,1,2,82,1,1,0,3,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
3,KL Rahul,Mohammad Nabi,RG Sharma,0,0,0,2,82,1,3,0,4,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
4,KL Rahul,Mohammad Nabi,RG Sharma,1,0,1,3,81,2,4,0,5,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
5,RG Sharma,Mohammad Nabi,KL Rahul,4,0,4,7,77,5,2,0,6,1,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
6,KL Rahul,Sharafuddin Ashraf,RG Sharma,1,0,1,8,76,3,5,0,1,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
7,RG Sharma,Sharafuddin Ashraf,KL Rahul,4,0,4,12,72,9,3,0,2,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
8,RG Sharma,Sharafuddin Ashraf,KL Rahul,1,0,1,13,71,10,4,0,3,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
9,KL Rahul,Sharafuddin Ashraf,RG Sharma,0,0,0,13,71,3,6,0,4,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
10,KL Rahul,Sharafuddin Ashraf,RG Sharma,6,0,6,19,65,9,7,0,5,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
11,KL Rahul,Sharafuddin Ashraf,RG Sharma,4,0,4,23,61,13,8,0,6,2,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
12,RG Sharma,Naveen-ul-Haq,KL Rahul,0,0,0,23,61,10,5,0,1,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
13,RG Sharma,Naveen-ul-Haq,KL Rahul,1,0,1,24,60,11,6,0,2,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
14,KL Rahul,Naveen-ul-Haq,RG Sharma,1,0,1,25,59,14,9,0,3,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
15,RG Sharma,Naveen-ul-Haq,KL Rahul,0,0,0,25,59,11,7,0,4,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
16,RG Sharma,Naveen-ul-Haq,KL Rahul,4,0,4,29,55,15,8,0,5,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
17,RG Sharma,Naveen-ul-Haq,KL Rahul,1,0,1,30,54,16,9,0,6,3,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
18,RG Sharma,Hamid Hassan,KL Rahul,1,0,1,31,53,17,10,0,1,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
19,KL Rahul,Hamid Hassan,RG Sharma,1,0,1,32,52,15,10,0,2,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
20,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,32,52,17,11,0,3,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
21,RG Sharma,Hamid Hassan,KL Rahul,1,0,1,33,51,18,12,0,4,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
22,KL Rahul,Hamid Hassan,RG Sharma,1,0,1,34,50,16,11,0,5,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
23,RG Sharma,Hamid Hassan,KL Rahul,1,0,1,35,49,19,13,0,6,4,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
24,RG Sharma,Naveen-ul-Haq,KL Rahul,0,1,1,36,48,19,14,0,1,5,noballs,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
25,RG Sharma,Naveen-ul-Haq,KL Rahul,1,0,1,37,47,20,15,0,2,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
26,KL Rahul,Naveen-ul-Haq,RG Sharma,1,0,1,38,46,17,12,0,3,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
27,RG Sharma,Naveen-ul-Haq,KL Rahul,4,0,4,42,42,24,16,0,4,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
28,RG Sharma,Naveen-ul-Haq,KL Rahul,0,0,0,42,42,24,17,0,5,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
29,RG Sharma,Naveen-ul-Haq,KL Rahul,6,0,6,48,36,30,18,0,6,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
30,RG Sharma,Naveen-ul-Haq,KL Rahul,4,0,4,52,32,34,19,0,7,5,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
31,KL Rahul,Hamid Hassan,RG Sharma,1,0,1,53,31,18,13,0,1,6,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
32,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,53,31,34,20,0,2,6,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
33,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,53,31,34,21,0,3,6,-,"{'by': 'Afghanistan', 'umpire': 'PR Reiffel', 'batter': 'RG Sharma', 'decision': 'struck down'}",0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
34,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,53,31,34,22,0,4,6,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
35,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,53,31,34,23,0,5,6,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
36,RG Sharma,Hamid Hassan,KL Rahul,0,0,0,53,31,34,24,0,6,6,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
37,KL Rahul,Gulbadin Naib,RG Sharma,2,0,2,55,29,20,14,0,1,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
38,KL Rahul,Gulbadin Naib,RG Sharma,0,0,0,55,29,20,15,0,2,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
39,KL Rahul,Gulbadin Naib,RG Sharma,1,0,1,56,28,21,16,0,3,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
40,RG Sharma,Gulbadin Naib,KL Rahul,1,0,1,57,27,35,25,0,4,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
41,KL Rahul,Gulbadin Naib,RG Sharma,1,0,1,58,26,22,17,0,5,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
