,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
64,SK Raina,AL Phehlukwayo,MK Pandey,,0,0,0,90,113,31,24,4,4,11,lbw,SK Raina,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
65,MS Dhoni,AL Phehlukwayo,MK Pandey,,0,0,0,90,113,0,1,4,5,11,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
66,MS Dhoni,AL Phehlukwayo,MK Pandey,,2,0,2,92,111,2,2,4,6,11,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
67,MK Pandey,JT Smuts,MS Dhoni,,0,0,0,92,111,33,22,4,1,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
68,MK Pandey,JT Smuts,MS Dhoni,,1,0,1,93,110,34,23,4,2,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
69,MS Dhoni,JT Smuts,MK Pandey,,0,0,0,93,110,2,3,4,3,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
70,MS Dhoni,JT Smuts,MK Pandey,,1,0,1,94,109,3,4,4,4,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
71,MK Pandey,JT Smuts,MS Dhoni,,2,0,2,96,107,36,24,4,5,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
72,MK Pandey,JT Smuts,MS Dhoni,,1,0,1,97,106,37,25,4,6,12,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
73,MK Pandey,CJ Dala,MS Dhoni,,0,0,0,97,106,37,26,4,1,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
74,MK Pandey,CJ Dala,MS Dhoni,,4,0,4,101,102,41,27,4,2,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
75,MK Pandey,CJ Dala,MS Dhoni,,4,0,4,105,98,45,28,4,3,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
76,MK Pandey,CJ Dala,MS Dhoni,,1,0,1,106,97,46,29,4,4,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
77,MS Dhoni,CJ Dala,MK Pandey,,0,0,0,106,97,3,5,4,5,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
78,MS Dhoni,CJ Dala,MK Pandey,,0,0,0,106,97,3,6,4,6,13,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
79,MK Pandey,JT Smuts,MS Dhoni,,1,0,1,107,96,47,30,4,1,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
80,MS Dhoni,JT Smuts,MK Pandey,,6,0,6,113,90,9,7,4,2,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
81,MS Dhoni,JT Smuts,MK Pandey,,1,0,1,114,89,10,8,4,3,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
82,MK Pandey,JT Smuts,MS Dhoni,,0,0,0,114,89,47,31,4,4,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
83,MK Pandey,JT Smuts,MS Dhoni,,1,0,1,115,88,48,32,4,5,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
84,MS Dhoni,JT Smuts,MK Pandey,,1,0,1,116,87,11,9,4,6,14,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
85,MS Dhoni,AL Phehlukwayo,MK Pandey,,2,0,2,118,85,13,10,4,1,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
86,MS Dhoni,AL Phehlukwayo,MK Pandey,,2,0,2,120,83,15,11,4,2,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
87,MS Dhoni,AL Phehlukwayo,MK Pandey,,1,0,1,121,82,16,12,4,3,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
88,MK Pandey,AL Phehlukwayo,MS Dhoni,,1,0,1,122,81,49,33,4,4,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
89,MS Dhoni,AL Phehlukwayo,MK Pandey,,1,0,1,123,80,17,13,4,5,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
90,MK Pandey,AL Phehlukwayo,MS Dhoni,,1,0,1,124,79,50,34,4,6,15,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
91,MK Pandey,CH Morris,MS Dhoni,,6,0,6,130,73,56,35,4,1,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
92,MK Pandey,CH Morris,MS Dhoni,,0,0,0,130,73,56,36,4,2,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
93,MK Pandey,CH Morris,MS Dhoni,,1,0,1,131,72,57,37,4,3,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
94,MS Dhoni,CH Morris,MK Pandey,,0,0,0,131,72,17,14,4,4,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
95,MS Dhoni,CH Morris,MK Pandey,,1,0,1,132,71,18,15,4,5,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
96,MK Pandey,CH Morris,MS Dhoni,,1,0,1,133,70,58,38,4,6,16,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
97,MK Pandey,D Paterson,MS Dhoni,,5,0,5,138,65,63,39,4,1,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
98,MS Dhoni,D Paterson,MK Pandey,,4,0,4,142,61,22,16,4,2,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
99,MS Dhoni,D Paterson,MK Pandey,,1,0,1,143,60,23,17,4,3,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
100,MK Pandey,D Paterson,MS Dhoni,,1,0,1,144,59,64,40,4,4,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
101,MS Dhoni,D Paterson,MK Pandey,,1,0,1,145,58,24,18,4,5,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
102,MK Pandey,D Paterson,MS Dhoni,,1,0,1,146,57,65,41,4,6,17,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
103,MK Pandey,CJ Dala,MS Dhoni,,2,0,2,148,55,67,42,4,1,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
104,MK Pandey,CJ Dala,MS Dhoni,,4,0,4,152,51,71,43,4,2,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
105,MK Pandey,CJ Dala,MS Dhoni,,0,0,0,152,51,71,44,4,3,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
106,MK Pandey,CJ Dala,MS Dhoni,,4,0,4,156,47,75,45,4,4,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
107,MK Pandey,CJ Dala,MS Dhoni,,1,0,1,157,46,76,46,4,5,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
108,MS Dhoni,CJ Dala,MK Pandey,,0,0,0,157,46,24,19,4,6,18,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
109,MK Pandey,CH Morris,MS Dhoni,,1,0,1,158,45,77,47,4,1,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
110,MS Dhoni,CH Morris,MK Pandey,,4,0,4,162,41,28,20,4,2,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
111,MS Dhoni,CH Morris,MK Pandey,,1,0,1,163,40,29,21,4,3,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
112,MK Pandey,CH Morris,MS Dhoni,,1,0,1,164,39,78,48,4,4,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
113,MS Dhoni,CH Morris,MK Pandey,,6,0,6,170,33,35,22,4,5,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
114,MS Dhoni,CH Morris,MK Pandey,,0,0,0,170,33,35,23,4,6,19,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
115,MK Pandey,D Paterson,MS Dhoni,,1,0,1,171,32,79,49,4,1,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
116,MS Dhoni,D Paterson,MK Pandey,,6,0,6,177,26,41,24,4,2,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
117,MS Dhoni,D Paterson,MK Pandey,,4,0,4,181,22,45,25,4,3,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
118,MS Dhoni,D Paterson,MK Pandey,,4,0,4,185,18,49,26,4,4,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
119,MS Dhoni,D Paterson,MK Pandey,,2,0,2,187,16,51,27,4,5,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
120,MS Dhoni,D Paterson,MK Pandey,,1,0,1,188,15,52,28,4,6,20,0,,,-,field,South Africa,1,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,India,South Africa,188
