,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,P Nissanka,MP Stoinis,BKG Mendis,1,0,1,1,153,1,1,0,-,1.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
1,BKG Mendis,MP Stoinis,P Nissanka,0,0,0,1,153,0,1,0,-,2.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
2,BKG Mendis,MP Stoinis,P Nissanka,0,0,0,1,153,0,2,0,-,3.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
3,BKG Mendis,MP Stoinis,P Nissanka,1,0,1,2,152,1,3,0,-,4.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
4,P Nissanka,MP Stoinis,BKG Mendis,1,0,1,3,151,2,2,0,-,5.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
5,BKG Mendis,MP Stoinis,P Nissanka,1,0,1,4,150,2,4,0,-,6.0,0,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Right arm Medium
6,BKG Mendis,DR Sams,P Nissanka,2,0,2,6,148,4,5,0,-,1.0,1,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Left arm Fast
7,BKG Mendis,DR Sams,P Nissanka,0,0,0,6,148,4,6,0,-,2.0,1,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Left arm Fast
8,BKG Mendis,DR Sams,P Nissanka,0,0,0,6,148,4,7,0,-,3.0,1,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Left arm Fast
9,BKG Mendis,DR Sams,P Nissanka,1,0,1,7,147,5,8,0,-,4.0,1,0,,,,bat,Australia,2,Melbourne Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-20,Sri Lanka,Sri Lanka,Australia,True,155,Right hand Bat,Right hand Bat,Left arm Fast
