,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,T Banton,Imad Wasim,JM Bairstow,0,0,0,0,0,1,1,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
1,T Banton,Imad Wasim,JM Bairstow,1,0,1,1,1,2,2,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
2,JM Bairstow,Imad Wasim,T Banton,1,0,1,2,1,1,3,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
3,T Banton,Imad Wasim,JM Bairstow,1,0,1,3,2,3,4,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
4,JM Bairstow,Imad Wasim,T Banton,0,0,0,3,1,2,5,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
5,JM Bairstow,Imad Wasim,T Banton,0,0,0,3,1,3,6,1,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
6,T Banton,Shaheen Shah Afridi,JM Bairstow,1,0,1,4,3,4,1,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
7,JM Bairstow,Shaheen Shah Afridi,T Banton,0,0,0,4,1,4,2,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
8,JM Bairstow,Shaheen Shah Afridi,T Banton,4,0,4,8,5,5,3,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
9,JM Bairstow,Shaheen Shah Afridi,T Banton,4,0,4,12,9,6,4,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
10,JM Bairstow,Shaheen Shah Afridi,T Banton,1,0,1,13,10,7,5,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
11,T Banton,Shaheen Shah Afridi,JM Bairstow,1,0,1,14,4,5,6,2,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
12,T Banton,Imad Wasim,JM Bairstow,6,0,6,20,10,6,1,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
13,T Banton,Imad Wasim,JM Bairstow,2,0,2,22,12,7,2,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
14,T Banton,Imad Wasim,JM Bairstow,1,0,1,23,13,8,3,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
15,JM Bairstow,Imad Wasim,T Banton,4,0,4,27,14,8,4,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
16,JM Bairstow,Imad Wasim,T Banton,1,0,1,28,15,9,5,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
17,T Banton,Imad Wasim,JM Bairstow,2,0,2,30,15,9,6,3,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
18,JM Bairstow,Mohammad Amir,T Banton,4,0,4,34,19,10,1,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
19,JM Bairstow,Mohammad Amir,T Banton,6,0,6,40,25,11,2,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
20,JM Bairstow,Mohammad Amir,T Banton,0,0,0,40,25,12,3,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
21,JM Bairstow,Mohammad Amir,T Banton,1,0,1,41,26,13,4,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
22,T Banton,Mohammad Amir,JM Bairstow,1,0,1,42,16,10,5,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
23,JM Bairstow,Mohammad Amir,T Banton,1,0,1,43,27,14,6,4,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
24,JM Bairstow,Shaheen Shah Afridi,T Banton,1,0,1,44,28,15,1,5,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
25,T Banton,Shaheen Shah Afridi,JM Bairstow,1,0,1,45,17,11,2,5,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
26,JM Bairstow,Shaheen Shah Afridi,T Banton,1,0,1,46,29,16,3,5,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
27,T Banton,Shaheen Shah Afridi,JM Bairstow,1,0,1,47,18,12,4,5,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
28,JM Bairstow,Shaheen Shah Afridi,T Banton,2,1,3,50,31,17,5,5,{'noballs': 1},noballs,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
29,JM Bairstow,Shaheen Shah Afridi,T Banton,2,0,2,52,33,18,6,5,,-,,0,,,field,England,2,Old Trafford,2020-08-30,England,Pakistan
