,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Tamim Iqbal,Mohammad Hafeez,Soumya Sarkar,0,0,0,0,141,0,1,0,-,1.0,0,,,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
1,Tamim Iqbal,Mohammad Hafeez,Soumya Sarkar,6,0,6,6,135,6,2,0,-,2.0,0,,,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
2,Tamim Iqbal,Mohammad Hafeez,Soumya Sarkar,4,0,4,10,131,10,3,0,-,3.0,0,,,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
3,Tamim Iqbal,Mohammad Hafeez,Soumya Sarkar,4,0,4,14,127,14,4,0,-,4.0,0,,,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
4,Tamim Iqbal,Mohammad Hafeez,Soumya Sarkar,0,0,0,14,127,14,5,1,-,5.0,run out,Soumya Sarkar,Saeed Ajmal,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
5,Shakib Al Hasan,Mohammad Hafeez,Tamim Iqbal,0,0,0,14,127,0,1,1,-,6.0,0,,,0,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
6,Tamim Iqbal,Sohail Tanvir,Shakib Al Hasan,0,0,0,14,127,14,6,1,-,1.0,0,,,1,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
7,Tamim Iqbal,Sohail Tanvir,Shakib Al Hasan,0,0,0,14,127,14,7,1,-,2.0,0,,,1,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
8,Tamim Iqbal,Sohail Tanvir,Shakib Al Hasan,0,1,1,15,126,14,8,1,legbyes,3.0,0,,,1,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
9,Shakib Al Hasan,Sohail Tanvir,Tamim Iqbal,0,0,0,15,126,0,2,1,-,4.0,0,,,1,bat,Pakistan,2,Shere Bangla National Stadium,2015,04,Bangladesh_Pakistan_2015-04-24,Bangladesh,Bangladesh,Pakistan,True,143
