,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,L Ronchi,Mashrafe Mortaza,KS Williamson,0,0,0,0,141,0,1,1,1,caught,L Ronchi,Mosaddek Hossain,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
1,C Munro,Mashrafe Mortaza,KS Williamson,3,0,3,3,138,3,1,1,2,0,,,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
2,KS Williamson,Mashrafe Mortaza,C Munro,1,0,1,4,137,1,1,1,3,0,,,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
3,C Munro,Mashrafe Mortaza,KS Williamson,0,0,0,4,137,3,2,1,4,0,,,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
4,C Munro,Mashrafe Mortaza,KS Williamson,0,0,0,4,137,3,3,1,5,0,,,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
5,C Munro,Mashrafe Mortaza,KS Williamson,4,0,4,8,133,7,4,1,6,0,,,1,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
6,KS Williamson,Rubel Hossain,C Munro,1,0,1,9,132,2,2,1,1,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
7,C Munro,Rubel Hossain,KS Williamson,4,0,4,13,128,11,5,1,2,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
8,C Munro,Rubel Hossain,KS Williamson,4,0,4,17,124,15,6,1,3,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
9,C Munro,Rubel Hossain,KS Williamson,2,0,2,19,122,17,7,1,4,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
10,C Munro,Rubel Hossain,KS Williamson,1,0,1,20,121,18,8,1,5,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
11,KS Williamson,Rubel Hossain,C Munro,0,0,0,20,121,2,3,1,6,0,,,2,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
12,C Munro,Mashrafe Mortaza,KS Williamson,0,0,0,20,121,18,9,1,1,0,,,3,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
13,C Munro,Mashrafe Mortaza,KS Williamson,0,0,0,20,121,18,10,1,2,0,,,3,-,field,Bangladesh,1,Bay Oval,2017,01,New Zealand_Bangladesh_2017-01-06,New Zealand,New Zealand,Bangladesh,195
